#{"t_start": 1587284671.8325038, "env_id": "DronePathComplex-v0"}
r,l,t
27,735,13.283959
22,402,19.108513
23,617,27.711632
21,498,34.398925
22,468,40.346257
38,1590,59.474695
27,2028,95.875218
242,4275,143.115701
1000,9693,355.762059
1000,7831,501.351177
1000,7485,642.594017
1000,6839,773.995744
820,5479,876.719829
668,4195,970.493789
297,1901,991.779409
1000,6986,1104.173454
970,5947,1202.11283
1000,6638,1302.436906
762,7128,1438.575059
732,5042,1542.395837
1000,8412,1730.153237
1000,7747,1861.249732
1000,7081,1984.867593
445,2823,2016.480983
530,3350,2099.720303
1000,7221,2213.897062
1000,7368,2334.086452
1000,6310,2434.176224
27,185,2437.052552
546,3595,2514.038705
93,575,2520.400385
270,1525,2537.871778
907,6186,2623.145127
340,2515,2671.536247
506,3644,2712.878518
97,422,2717.927518
795,7055,2809.267077
28,183,2812.157478
238,1515,2844.758991
25,212,2846.867466
801,6383,2929.646144
28,191,2931.417425
71,531,2937.636328
378,2742,2969.162386
612,4292,3028.330561
106,943,3039.096158
31,177,3040.779157
422,3404,3092.157839
227,1741,3111.822688
195,1124,3124.429992
150,1064,3136.433544
287,1911,3169.218311
161,1213,3182.744927
234,1459,3199.489468
137,785,3209.176682
24,186,3210.953172
244,1646,3229.618916
1000,6606,3340.69732
95,464,3345.997268
427,3255,3384.585612
312,1945,3406.23513
163,1202,3427.147485
55,376,3430.641338
234,2177,3456.136668
814,5899,3540.692777
41,273,3544.597079
26,216,3546.786414
164,1373,3562.95311
24,180,3564.740774
644,4324,3622.030646
25,198,3623.845691
26,196,3625.776938
426,2995,3671.214825
113,594,3678.338976
24,206,3681.657398
24,198,3683.667449
663,4926,3745.070629
69,418,3769.037224
133,1274,3783.208998
119,696,3792.04975
508,3349,3830.168787
56,284,3834.137204
25,173,3835.821809
58,382,3857.137093
235,1507,3874.428997
24,185,3876.202966
25,190,3878.094688
27,237,3881.692168
24,174,3883.478434
26,189,3886.415493
94,518,3892.577249
369,3879,3947.23727
117,785,3957.005513
158,1519,3975.383893
68,636,3982.429672
24,181,3984.268936
25,216,3987.472592
22,220,3989.763906
347,2549,4030.110918
199,1178,4043.746452
150,2258,4071.258307
201,1501,4089.655169
