#{"t_start": 1587284672.3855762, "env_id": "DronePathComplex-v0"}
r,l,t
45,788,13.543187
21,559,21.176194
23,408,27.249321
24,377,32.541521
29,482,38.749082
44,1141,52.39292
66,3128,101.571148
102,1201,114.853018
567,6751,236.944581
1000,8687,389.854451
1000,8083,597.175457
1000,6945,730.673518
1000,7065,850.77997
1000,6195,966.920376
1000,7878,1088.460983
1000,6331,1190.904668
485,3704,1259.304977
833,5699,1379.131294
1000,7139,1504.264955
391,2731,1536.368991
1000,7099,1667.329327
889,7766,1840.268503
1000,7536,1970.384634
287,2091,1993.313978
1000,6849,2115.616081
1000,6932,2225.82236
200,1275,2239.399576
144,739,2286.897962
1000,8216,2408.322609
211,1237,2421.694076
111,566,2428.105261
399,3417,2503.32894
412,3750,2545.744651
960,6336,2633.576958
680,4798,2707.339056
263,1982,2730.03042
32,195,2731.882719
31,192,2747.732578
275,1642,2766.23474
136,1028,2777.559444
620,4553,2844.290527
264,2529,2873.521239
288,2404,2900.313494
108,897,2919.799005
461,3593,2961.401436
28,220,2964.766327
154,781,2973.1022
104,801,2982.689342
382,2927,3024.800544
876,6802,3115.581047
24,183,3117.315081
433,3236,3164.438978
172,1022,3176.044694
85,619,3184.123322
388,3694,3226.154871
81,480,3231.926017
44,297,3254.368393
73,925,3265.65019
50,398,3270.626096
97,694,3278.211244
26,213,3281.437424
137,910,3291.051157
131,669,3299.461832
305,1978,3321.966247
217,1489,3354.152288
22,195,3356.152792
219,2279,3381.961287
214,1302,3397.760779
22,178,3399.436763
510,4613,3458.471763
25,178,3461.432293
435,3152,3515.434931
24,197,3517.374468
437,4353,3567.79714
179,1097,3587.710186
573,4042,3633.989103
231,1454,3651.379177
22,173,3653.166316
486,4557,3718.601583
530,3581,3780.878886
25,177,3782.522143
240,1839,3804.041079
26,200,3805.809696
58,433,3811.167227
57,396,3816.132619
478,3228,3869.705036
26,173,3871.446202
125,699,3880.699544
98,491,3886.734725
98,539,3893.040894
145,1017,3904.825375
328,3131,3951.367424
323,2560,3981.766957
111,576,3988.696632
24,220,3990.895583
24,244,3994.392734
255,2440,4033.60596
24,193,4035.643656
89,667,4043.056247
67,571,4049.289908
131,812,4059.437515
99,520,4065.535936
92,959,4077.715276
228,2022,4116.638724
150,1501,4134.330498
78,745,4142.964243
107,1251,4158.736414
62,470,4164.615521
203,2550,4199.883718
39,509,4206.11343
26,184,4207.982443
273,2103,4232.411521
22,210,4234.556838
21,181,4237.642953
20,251,4240.217472
22,228,4243.641541
25,186,4245.649577
88,1048,4257.908934
256,1685,4291.398708
25,207,4294.655186
304,2923,4329.356218
22,222,4331.650933
22,202,4333.701387
140,1426,4350.44291
44,456,4362.557928
35,472,4368.605776
149,1093,4381.779347
211,2360,4409.229843
36,294,4412.115405
330,3035,4458.198215
79,610,4464.827855
238,1813,4486.33675
78,445,4491.737175
536,7195,4580.810336
23,192,4582.538276
458,4604,4648.891852
24,195,4651.826851
78,628,4658.760359
204,1392,4675.379986
351,2793,4722.920488
388,2576,4752.186783
40,328,4756.453836
70,607,4763.371856
28,206,4765.253842
136,1175,4797.829731
136,1060,4809.937967
576,4874,4872.669257
249,1886,4894.926798
491,5455,4967.344397
109,1035,4978.822403
105,843,4988.076821
143,1366,5003.847613
54,519,5009.824596
257,2183,5052.47158
229,1778,5074.335703
95,748,5082.581606
418,2946,5135.843681
44,465,5141.396489
68,526,5147.261393
126,991,5158.282088
71,532,5164.557706
688,6608,5258.169592
136,2343,5284.154094
