#{"t_start": 1587284672.8261325, "env_id": "DronePathComplex-v0"}
r,l,t
28,554,10.161433
59,769,20.427235
22,522,27.895693
35,684,36.349598
40,837,47.037291
37,2425,75.404723
101,1130,101.528315
1000,11350,273.766884
1000,7933,479.775092
1000,7367,618.874954
1000,6595,747.919751
378,2177,771.89432
1000,7017,891.662905
1000,6814,1014.347357
1000,6365,1152.700384
1000,7376,1260.748101
853,5879,1383.34852
821,5527,1488.692762
374,3044,1525.141315
1000,5891,1643.169211
437,2817,1674.123827
312,2015,1739.470556
998,7460,1866.822735
399,2750,1896.598291
1000,6884,2019.67465
1000,8185,2190.272252
1000,7528,2311.728275
942,7087,2420.74882
718,6170,2526.874166
450,3029,2577.434882
793,5642,2640.951655
365,2651,2690.45406
154,882,2700.679539
1000,6676,2789.210651
804,6402,2878.091395
452,3358,2924.725304
107,671,2932.180862
27,179,2934.981524
26,178,2936.8979
405,3605,2978.499485
298,1998,3010.751126
24,182,3012.561212
84,622,3020.580003
609,4345,3081.504656
25,185,3083.377553
122,1121,3097.186802
679,5526,3170.107868
61,471,3175.448126
648,4535,3227.831335
30,198,3230.805065
25,194,3252.129487
393,3333,3291.926748
331,2185,3315.946503
615,4446,3381.941285
103,634,3390.191006
331,1957,3419.318805
35,291,3422.089754
364,2994,3456.353716
259,2301,3482.406818
175,1650,3520.238178
25,218,3522.402922
97,678,3529.435972
248,1539,3546.915504
77,462,3552.348292
26,204,3555.214409
142,833,3564.463535
666,4945,3628.766465
498,4172,3688.37182
109,539,3695.0013
440,3239,3735.697816
37,274,3738.591715
63,387,3743.875599
342,2174,3787.685066
26,183,3789.519692
483,3678,3833.224246
302,2080,3873.733517
552,4308,3923.719852
139,797,3943.78705
154,1145,3957.195561
295,2169,3982.730331
23,178,3984.492227
516,3516,4036.66239
97,485,4042.290898
130,1163,4056.538866
136,1039,4069.217165
26,189,4071.174085
663,4536,4140.072414
114,717,4148.329939
105,808,4158.721512
52,420,4164.027723
23,217,4166.280843
71,740,4174.483997
22,199,4177.796809
66,966,4193.757538
187,1653,4213.688834
103,727,4221.783134
119,735,4230.751383
75,844,4240.777643
20,204,4243.918817
21,196,4245.879768
197,1563,4264.227948
163,1773,4299.907349
172,1034,4312.304709
20,188,4314.046594
230,2215,4340.803944
149,1584,4366.052586
104,885,4376.114997
49,592,4382.867025
222,3475,4423.137474
23,198,4426.350166
71,673,4444.618037
575,3615,4486.187918
271,2612,4521.382745
27,196,4524.297384
251,1827,4544.854312
158,1005,4556.821344
46,422,4561.972359
85,600,4568.843663
235,2515,4611.203105
272,2621,4641.542321
289,2490,4670.361342
799,6101,4756.601152
76,406,4761.449094
52,623,4786.412848
190,1840,4807.341088
256,2149,4832.721544
81,685,4839.971363
26,179,4841.74016
58,495,4847.640353
70,469,4853.301727
149,1188,4875.099115
866,6413,4958.06717
47,536,4963.850205
160,1451,4980.260787
360,2789,5011.672065
494,4451,5082.068867
45,306,5086.151062
96,769,5094.527274
179,1490,5130.845057
531,5508,5193.563606
64,423,5215.703882
242,1561,5233.610181
25,246,5235.979065
129,1076,5248.957934
33,230,5252.242556
24,179,5253.872469
485,3854,5307.284718
147,1534,5324.594292
123,1278,5339.05273
355,2874,5377.07387
25,180,5378.789785
26,181,5380.57359
23,202,5383.669306
138,986,5395.498073
23,162,5397.077727
25,227,5400.35537
30,199,5402.276027
325,3498,5443.432093
406,4287,5498.552465
48,431,5504.001074
86,619,5510.877848
40,1112,5523.504579
301,2168,5579.772231
364,4219,5658.510867
370,3527,5698.909439
235,2272,5724.501687
29,186,5727.397471
33,874,5749.876799
24,164,5752.604634
64,1444,5768.787461
139,1133,5783.129658
56,486,5788.854522
90,1451,5804.591356
108,653,5812.977143
806,7898,5936.261914
28,179,5937.869351
24,178,5940.572183
295,2979,5974.512591
322,1953,6004.689415
496,3452,6043.952422
680,5438,6123.741555
288,2381,6149.817268
181,1494,6175.480556
198,1214,6189.927803
1000,6537,6267.501323
56,321,6271.636107
26,183,6273.363044
1000,7081,6377.372998
148,842,6387.314667
29,170,6388.93947
29,196,6391.921449
25,171,6393.605802
191,1754,6418.168936
47,376,6422.675642
138,888,6432.959695
23,173,6434.670834
137,654,6441.67456
202,1262,6456.474643
945,6532,6540.082948
828,6446,6632.436464
30,197,6635.387591
142,840,6644.319985
184,1159,6680.559954
1000,9070,6810.367239
389,2561,6839.398825
674,5180,6903.4898
20,180,6906.231941
220,1597,6934.670274
54,448,6940.827471
1000,6982,7029.045189
25,183,7031.779711
26,167,7033.469645
45,299,7037.348543
116,764,7045.605759
180,777,7054.688807
205,1857,7075.843853
404,3679,7131.697067
74,556,7139.228357
26,180,7141.064736
199,1420,7157.739421
478,4519,7217.064984
75,572,7223.631861
1000,9075,7352.52159
26,182,7355.327139
459,3041,7390.029015
229,1851,7414.346186
30,245,7417.628969
26,169,7419.195208
173,1579,7449.789215
305,2180,7475.913345
38,307,7480.034771
53,329,7484.443856
24,168,7486.109159
25,169,7487.695357
148,954,7498.737027
354,3041,7559.316123
231,1596,7576.919009
109,667,7585.533086
869,8029,7691.096096
23,186,7693.959904
784,7751,7795.78249
342,2975,7830.440212
184,1795,7850.496682
139,1028,7867.168272
110,733,7874.887231
29,190,7877.796935
26,182,7879.619582
24,196,7882.647375
90,585,7889.429682
26,171,7891.03136
101,605,7897.750854
135,945,7908.613527
55,497,7914.5813
549,5489,7990.354323
27,193,7992.248124
642,6358,8073.12511
932,8773,8183.666952
289,3225,8219.418914
22,192,8221.311398
26,196,8224.516697
754,6938,8318.714095
112,684,8327.34879
109,843,8360.659193
333,3744,8403.205525
25,189,8404.960969
88,812,8414.385113
141,1070,8432.878347
26,205,8434.861296
25,190,8436.620543
19,212,8439.69811
994,11317,8591.144753
84,913,8628.571502
219,2021,8651.617596
158,1223,8664.909229
1000,9257,8793.415152
1000,11146,8930.037411
283,3396,8986.623152
1000,11166,9129.204144
78,474,9134.865315
150,1493,9151.610206
396,3933,9209.845391
243,2579,9238.853999
822,10889,9386.013766
23,210,9389.200242
24,187,9390.933288
141,1560,9408.679943
202,1826,9429.443067
39,719,9437.830652
106,1625,9471.678257
72,839,9481.585148
23,242,9483.907221
25,214,9486.979291
286,3518,9540.767306
64,804,9549.199473
227,1579,9566.510672
714,8718,9692.398648
367,5154,9778.854159
224,3118,9833.403104
285,2920,9866.303649
429,4523,9932.105798
1000,11577,10098.312701
22,228,10100.349073
24,205,10102.176068
1000,14354,10304.442091
89,687,10312.815956
201,3938,10367.939165
57,590,10375.495093
1000,15759,10607.066846
328,5906,10693.019715
1000,12541,10875.524239
1000,16084,11112.827866
735,13171,11297.973927
584,12562,11475.871012
1000,15847,11744.305514
41,714,11751.859331
365,5263,11822.9425
1000,17528,12134.232293
985,20000,12517.468401
1000,16959,12774.758883
1000,18591,13071.784966
80,4925,13171.128762
901,20000,13507.403474
950,20000,13837.615238
43,4362,13919.346166
961,20000,14309.85539
1000,19245,14695.629965
21,2186,14781.013582
1000,19922,15184.768184
1000,19749,15591.213953
968,20000,16052.710575
945,20000,16475.531016
873,20000,17029.998887
1000,19524,17551.704493
1000,19993,18033.061331
36,2480,18064.48262
