#{"t_start": 1587284671.9202905, "env_id": "DronePathComplex-v0"}
r,l,t
40,781,13.86176
32,583,21.877786
40,572,29.742153
24,499,36.239811
25,702,45.666198
36,707,53.705385
23,383,58.482518
43,1268,72.355768
22,475,78.142636
58,952,102.502062
1000,11427,275.400138
1000,7401,475.518325
1000,7343,614.490319
1000,6633,743.756091
596,4116,830.790982
1000,7498,962.157142
905,6313,1066.400923
605,4032,1111.202058
249,1671,1162.091414
1000,6391,1260.043796
191,1122,1272.462801
344,2261,1297.003702
433,3327,1391.422021
1000,7478,1520.559192
1000,6909,1650.364197
506,2931,1726.349741
423,2889,1757.610617
250,1860,1779.156145
1000,6506,1895.115845
1000,8558,2081.845878
1000,6985,2192.98514
1000,7869,2318.779956
669,5593,2411.002467
290,1782,2431.637738
384,3376,2505.501303
608,4495,2557.040808
483,3234,2608.580273
27,200,2611.495309
265,1679,2630.072077
264,2294,2676.408514
58,344,2679.526643
472,3480,2719.497169
398,2891,2765.708219
437,3068,2799.844451
489,3033,2849.837405
306,1872,2870.534746
215,1504,2887.959415
558,3529,2937.702092
126,659,2945.047838
512,4793,3010.158793
373,2379,3036.703048
166,793,3046.343539
147,903,3057.182597
80,759,3065.170262
25,181,3079.65258
25,191,3081.477196
231,1952,3104.219322
95,461,3109.703871
62,612,3116.581924
524,3760,3169.671089
146,822,3179.457633
178,1299,3193.661129
31,188,3196.51588
383,2671,3227.030415
26,169,3228.651787
136,950,3259.567508
133,699,3267.666694
684,4288,3317.137627
364,2476,3361.349012
412,3645,3403.482983
247,1466,3426.711741
103,726,3434.710359
23,194,3436.537429
91,413,3441.505314
623,4385,3510.100509
365,2795,3540.905999
249,1538,3558.954838
46,301,3562.971433
43,351,3567.58979
203,1082,3579.844979
272,2582,3616.303848
70,561,3622.662896
22,194,3624.438
25,186,3627.382303
379,2534,3657.905816
38,272,3669.718556
109,783,3680.067572
388,2865,3714.661947
43,293,3718.659726
22,189,3720.640263
502,3642,3783.504247
99,597,3790.140543
141,780,3799.538267
98,632,3806.408755
759,5157,3883.61605
192,1631,3902.382069
201,2324,3939.971557
139,1028,3952.24777
23,201,3954.191286
25,200,3957.344802
190,1111,3970.465124
109,784,3979.020176
175,1321,3995.55817
105,457,4000.900291
333,3646,4053.734789
21,209,4055.69486
48,397,4060.777855
232,2341,4090.130528
24,188,4092.014914
22,189,4095.070726
250,2123,4133.987553
21,212,4136.186661
68,667,4143.997534
22,209,4147.246385
145,1441,4164.819724
139,1262,4179.72259
101,1292,4200.191673
357,2985,4234.687088
91,709,4244.330749
240,1572,4262.853402
55,400,4281.599245
32,220,4283.696723
205,2317,4312.23064
285,2025,4336.166522
355,3121,4379.901997
21,216,4381.91182
356,3265,4418.994871
95,940,4430.388955
454,3837,4485.724543
177,1512,4503.587061
303,3115,4544.378754
178,1457,4561.905659
286,3169,4611.665302
283,2894,4645.677723
96,810,4654.411195
286,1715,4673.919238
100,606,4697.731815
39,269,4700.302004
458,5045,4758.284181
436,3200,4813.197151
42,453,4818.381988
20,197,4821.295471
186,2070,4844.977502
201,1837,4872.69948
167,1292,4888.306806
141,1105,4900.996042
25,202,4902.904015
543,5567,4975.990958
76,404,4980.892819
87,593,4987.801043
416,3632,5046.877849
23,176,5048.596288
357,2937,5083.728127
25,170,5086.431778
724,7988,5196.060233
493,4374,5264.666984
26,177,5266.338047
221,2509,5303.557307
498,5261,5363.658217
36,277,5367.462626
374,3009,5407.820381
30,197,5409.81382
245,1486,5427.382477
34,445,5432.738791
105,671,5440.067999
24,217,5443.315167
21,218,5445.431654
227,1190,5465.070901
122,1392,5481.351098
21,306,5485.385894
206,1245,5499.001318
94,595,5506.113146
142,1218,5520.761973
127,1215,5564.844846
52,488,5570.524982
21,183,5572.136459
77,1228,5587.007226
164,1401,5602.645737
35,221,5605.899889
246,2615,5665.763105
41,406,5670.643516
165,2991,5705.145828
24,168,5706.742662
64,356,5711.287751
212,1358,5725.910709
308,5068,5798.622574
274,2814,5844.938299
20,194,5847.40181
487,3950,5892.691275
25,175,5894.280607
83,636,5901.059372
365,2524,5949.438056
27,243,5952.990397
26,196,5954.754913
22,193,5956.603364
85,670,5964.941984
827,6956,6052.021157
26,179,6054.775881
25,175,6056.374255
64,383,6061.213794
267,1887,6100.067732
80,572,6106.561073
240,2431,6133.431522
583,4440,6192.698664
20,178,6194.400236
25,169,6197.04909
519,3784,6239.208487
483,3920,6287.853261
24,163,6289.559213
213,1235,6303.454988
27,189,6306.338564
24,171,6307.975116
111,807,6341.449661
22,168,6343.201151
73,451,6348.221964
63,427,6353.179348
31,221,6355.130759
317,2436,6382.816928
28,189,6384.575745
27,199,6387.493424
22,179,6389.138375
29,185,6390.956834
1000,6907,6474.909481
23,189,6476.635603
87,568,6482.739401
107,573,6499.578004
490,2912,6531.674868
27,193,6534.622325
27,177,6536.354066
25,178,6538.057808
26,172,6540.750412
27,191,6542.564731
48,377,6547.20094
483,3388,6604.690424
778,6273,6698.889188
255,1819,6718.434492
186,961,6729.436897
