#{"t_start": 1587284671.50492, "env_id": "DronePathComplex-v0"}
r,l,t
24,539,11.181887
52,852,22.705983
22,374,28.293063
22,445,34.293636
22,663,42.471951
87,991,54.359931
62,1896,76.372612
71,2306,115.504501
1000,9937,272.656173
1000,7229,470.060082
596,5405,529.200371
1000,6639,661.811115
1000,6684,832.295453
1000,6401,951.490795
665,4367,999.554965
1000,7251,1115.550289
1000,7201,1254.216417
1000,6216,1379.643402
744,5617,1442.563556
901,6029,1557.409029
371,2388,1634.896302
38,274,1638.437438
360,2650,1667.75415
1000,7278,1792.378741
1000,7483,1964.893109
1000,6766,2086.007186
877,6092,2186.928316
1000,7158,2305.106698
439,3219,2340.77761
327,2339,2397.007432
119,864,2405.849783
467,4305,2491.429759
825,5399,2552.347923
732,5778,2633.754592
100,564,2640.131095
450,2684,2689.911536
28,187,2691.667709
926,6493,2778.740255
312,2897,2811.367857
100,693,2834.453388
176,1173,2847.484164
128,1002,2858.949101
124,933,2869.81618
519,4215,2926.836029
213,1395,2943.471731
626,4259,3001.644432
1000,8348,3109.97266
370,1893,3130.822011
106,775,3140.231851
71,497,3146.151312
281,2029,3179.72777
30,221,3181.876925
120,817,3191.578057
244,1681,3210.707219
25,202,3212.673071
260,1828,3253.683821
24,204,3255.734373
44,365,3260.323319
23,185,3263.24055
524,4485,3313.733506
60,447,3319.102319
463,3218,3371.114142
302,1775,3392.467058
284,1362,3408.665533
78,734,3422.826143
48,370,3427.544325
330,2497,3455.906997
535,4609,3527.072559
21,196,3528.783451
128,584,3534.993363
202,1008,3546.650863
666,3763,3597.272039
26,237,3600.609063
46,418,3605.554025
116,618,3612.022
474,4167,3670.368223
25,187,3672.418592
69,454,3677.927562
263,1825,3701.061584
182,824,3711.682241
22,216,3713.806423
273,2306,3741.888495
735,5996,3830.891715
27,178,3832.69188
374,2868,3883.317763
23,194,3885.186017
24,178,3888.126664
373,2261,3913.898584
368,3764,3969.162455
214,1741,3989.425026
159,1170,4003.134715
20,206,4006.169432
447,2979,4050.340768
321,2799,4084.927243
40,538,4091.659012
116,896,4116.856943
37,327,4119.96347
27,214,4123.228108
128,1025,4135.126066
151,1249,4149.874637
43,572,4156.557588
332,2374,4185.933488
106,885,4201.43934
23,196,4203.420352
329,2682,4234.735599
206,2561,4265.804882
154,1257,4295.167636
23,203,4297.235441
23,225,4300.554095
156,1671,4319.933725
20,210,4321.872067
75,480,4327.487005
142,1029,4339.760908
197,963,4351.031942
27,223,4354.46052
95,791,4370.078772
59,315,4374.298033
22,211,4376.413141
392,3828,4421.320507
67,448,4426.888313
151,828,4446.777215
446,3502,4487.036308
477,3580,4533.795115
87,783,4542.090155
34,254,4545.676429
101,660,4553.195528
22,211,4556.364838
62,546,4562.711886
55,423,4567.854013
25,222,4569.964951
47,351,4574.526597
199,1664,4593.589356
119,655,4613.932099
88,802,4623.780676
250,1953,4646.557514
21,212,4648.470231
286,2147,4673.142701
194,1105,4701.808683
25,193,4704.723716
199,1526,4722.014535
357,3353,4759.953494
25,189,4762.844902
152,994,4792.562903
31,215,4794.605234
26,181,4796.413
576,4465,4847.855036
37,340,4852.318782
80,415,4857.490684
164,942,4874.534424
119,927,4885.343619
27,199,4888.249254
369,3201,4924.540433
40,405,4929.487191
423,3894,4983.141398
27,209,4986.262042
393,3206,5040.185647
26,182,5041.876534
646,6873,5141.880788
86,621,5148.751492
179,1640,5167.147887
283,1944,5189.125299
179,1423,5223.077108
196,1598,5241.463217
23,176,5243.251967
25,177,5244.957464
26,208,5248.305104
117,1118,5261.093156
311,2292,5287.847634
91,566,5302.538704
356,3056,5337.911247
42,335,5341.144507
