#{"t_start": 1587284672.0180318, "env_id": "DronePathComplex-v0"}
r,l,t
23,654,11.996672
21,453,18.55851
18,515,25.924856
24,390,30.589731
21,425,36.225741
23,603,43.483976
86,1700,64.310784
50,2500,106.379811
34,1434,121.61683
1000,10644,344.676546
1000,7565,487.668232
1000,7230,625.698659
1000,6647,755.208468
1000,7050,875.193424
429,2716,952.523121
1000,7396,1069.843677
1000,6796,1177.547563
1000,6611,1277.59243
441,3175,1312.533594
1000,7510,1498.142195
1000,6655,1626.483541
85,609,1633.021532
435,3085,1667.390219
585,3527,1749.5697
743,6298,1863.331108
997,6037,1976.581088
1000,6964,2099.450433
1000,6375,2203.929667
366,2143,2227.591741
839,6576,2339.615153
982,7532,2490.409784
23,213,2492.491493
343,2961,2526.16147
790,6191,2611.972182
826,6711,2707.570998
332,2497,2749.320322
503,3843,2791.806947
472,3741,2850.345156
264,1840,2870.767541
144,771,2880.366523
269,1771,2899.888245
87,607,2916.887917
198,1883,2938.050678
320,1958,2960.541563
342,2848,3003.4047
256,2040,3026.735883
316,2317,3052.655822
389,3017,3099.366707
404,2771,3130.583151
401,3184,3178.358399
136,999,3189.686332
196,1340,3204.613804
621,4005,3271.260876
84,678,3278.713697
25,175,3281.480644
531,4194,3344.065728
169,1143,3357.169732
149,990,3368.509439
639,4399,3426.28813
209,1446,3442.188773
363,1812,3463.301833
88,721,3471.212502
143,1254,3485.982483
89,732,3512.012174
54,406,3517.032722
244,2242,3541.473375
21,243,3545.059431
68,551,3551.485293
377,2968,3593.47883
71,615,3600.49238
270,1845,3621.381754
41,421,3625.368464
39,286,3629.193482
26,208,3631.362024
24,193,3634.478965
22,203,3636.342312
25,176,3637.929636
605,4705,3705.795994
176,2037,3731.052317
194,1589,3769.282736
19,214,3771.363762
563,4764,3825.951141
387,2517,3871.888733
74,511,3878.035591
230,2159,3904.468946
21,200,3906.33275
44,354,3910.84773
231,1687,3940.127518
206,1159,3953.615229
187,2045,3978.022819
390,2778,4011.40929
94,479,4027.634155
373,3485,4067.905982
149,989,4080.2934
49,557,4087.000656
23,185,4090.129264
85,450,4095.847059
60,461,4115.376688
182,2322,4142.376362
179,1396,4159.825188
263,2301,4191.25898
23,198,4194.286338
46,265,4197.004672
20,207,4200.412795
24,221,4202.55318
331,2976,4238.256061
176,1710,4258.499115
118,1281,4288.004651
98,1201,4302.250571
57,624,4309.496576
536,3602,4351.393999
174,1153,4372.883564
21,192,4374.853033
196,1385,4391.375011
44,447,4396.633364
47,469,4400.963465
24,217,4404.322218
49,472,4409.796337
189,2189,4445.912505
181,1672,4464.58769
87,844,4474.637366
470,3967,4526.101228
