#{"t_start": 1587284672.2055697, "env_id": "DronePathComplex-v0"}
r,l,t
30,816,14.067104
21,356,19.153625
27,528,26.655195
26,697,35.491442
25,395,40.868539
25,559,47.393348
39,898,58.452578
52,1264,72.297276
68,2628,115.591374
1000,10519,278.925543
731,5389,395.774773
1000,9762,622.851803
1000,6811,753.670554
1000,6820,870.568631
1000,6613,991.636407
1000,6624,1099.567491
1000,6993,1210.242703
1000,7741,1379.159518
1000,6652,1498.515449
352,2176,1524.511776
1000,6719,1651.151903
33,215,1654.217791
601,3720,1738.32937
659,6109,1850.367203
433,3121,1884.643114
1000,6531,2003.35306
1000,7554,2133.353194
968,7263,2286.09513
59,434,2290.081743
28,178,2292.823737
818,6091,2390.484377
47,306,2393.283553
878,7037,2509.387475
115,774,2518.645095
124,1174,2531.575066
907,5898,2613.481323
815,7011,2713.103878
309,2079,2749.794862
131,905,2760.160165
463,3467,2799.039126
88,886,2808.131225
534,3932,2868.91303
90,758,2878.375293
27,190,2880.340989
576,4245,2937.740505
167,1056,2949.858621
169,931,2960.615955
25,188,2962.564214
1000,6124,3042.012076
66,369,3046.708124
24,180,3048.440426
119,570,3056.017911
29,207,3057.991394
26,174,3059.613007
290,2114,3095.374701
602,4977,3163.304965
43,395,3168.081319
267,1878,3189.843345
97,746,3197.867145
170,1351,3214.135972
23,213,3216.153793
123,853,3225.960629
239,1241,3259.825099
37,296,3263.877303
25,197,3265.737253
661,4290,3315.333807
68,410,3319.399708
191,1258,3349.44368
25,190,3351.164749
25,171,3353.894894
24,195,3355.881897
280,1543,3373.754638
36,318,3377.858276
55,305,3380.77115
21,200,3383.801927
149,880,3393.393836
385,3116,3435.512441
54,425,3440.584407
228,1628,3458.7889
50,407,3463.837166
211,1373,3479.716692
250,1350,3512.848064
358,2616,3543.018273
294,1924,3564.761436
554,4632,3624.8732
85,454,3630.438099
24,197,3633.599159
470,4208,3693.591556
82,601,3701.011202
456,3100,3739.069885
565,4290,3807.551358
478,3863,3869.507788
25,192,3871.421005
83,465,3877.128308
212,2160,3902.557817
365,2648,3944.508055
137,792,3953.184344
23,210,3956.323085
44,381,3960.228469
23,189,3963.120015
178,915,3974.366998
505,4037,4031.38908
263,1751,4052.394366
319,2710,4085.101418
166,851,4096.199507
100,993,4122.045438
105,1264,4136.445297
80,623,4143.866776
90,927,4155.083943
64,755,4165.107572
74,559,4171.656888
74,1013,4183.986985
230,1752,4209.28497
101,895,4219.969302
22,202,4221.958542
130,1114,4234.862795
153,789,4245.332291
21,187,4247.149336
204,1431,4264.148124
38,507,4283.925467
29,213,4287.174629
54,499,4293.259254
28,216,4295.502567
85,691,4303.650116
29,214,4306.860206
71,807,4315.477778
53,547,4321.651594
133,972,4333.35961
329,2069,4364.184719
118,965,4376.254843
26,182,4379.152749
141,2060,4402.897209
30,209,4404.910434
189,1413,4421.432855
28,203,4423.252373
116,1039,4446.521011
448,3538,4487.2834
457,4148,4540.021217
230,2540,4570.2266
21,211,4573.312196
34,271,4576.069563
82,600,4582.817634
171,1483,4613.023253
83,874,4623.630183
24,196,4625.502902
229,1357,4641.478043
287,2903,4675.476789
24,197,4677.465239
258,2151,4717.651903
395,3110,4753.334464
574,6546,4846.864183
176,1371,4870.400162
287,2474,4899.312377
136,1160,4912.206662
665,5220,4981.255989
24,209,4983.305639
416,3368,5039.941133
422,3323,5078.761493
62,440,5084.046464
26,200,5087.102042
22,208,5089.236269
473,4573,5160.279249
24,202,5162.31998
127,1303,5177.25361
196,1957,5217.115012
291,1904,5239.612204
664,5501,5311.034977
30,195,5313.972533
118,795,5322.252239
165,1032,5334.211938
330,2755,5366.504662
194,1369,5386.548615
25,177,5389.362877
259,2895,5422.691499
296,2545,5458.801214
22,272,5462.445759
131,980,5474.011003
58,647,5480.921795
98,1754,5500.606968
58,544,5507.098
574,5585,5602.249544
254,1775,5623.869962
268,3426,5692.81437
82,851,5701.9189
429,5374,5778.219006
244,2220,5803.617702
43,415,5808.862215
69,473,5814.423675
21,207,5824.460223
236,2692,5860.792294
65,400,5865.887754
844,6767,5961.798286
258,2548,5990.683324
594,4525,6051.099957
57,508,6056.946822
82,462,6062.628129
26,177,6064.242023
22,186,6067.129735
23,194,6068.985678
165,1334,6101.428951
867,7144,6191.069905
97,715,6198.961135
24,189,6201.886683
109,684,6208.998861
28,181,6210.860364
24,182,6213.799028
588,4555,6268.369899
25,168,6270.949084
25,173,6272.663175
199,1493,6289.189893
85,563,6295.532991
53,471,6301.108268
25,181,6302.919218
156,1193,6341.265844
166,1583,6358.856339
209,1410,6375.01271
103,742,6382.91
102,627,6389.861232
275,2250,6421.293478
22,168,6422.797036
163,954,6433.784568
25,166,6435.422455
462,3838,6479.113892
670,5427,6549.600008
166,1023,6561.06123
28,174,6563.902395
76,501,6588.773685
52,388,6592.536594
101,599,6600.44962
367,2692,6630.723419
148,849,6639.772465
48,415,6644.716662
256,1619,6685.142445
206,1763,6705.362057
76,484,6710.781273
213,1319,6724.892133
491,3413,6792.688421
598,5372,6859.8856
26,165,6861.417403
943,9152,6980.972733
473,3785,7028.541156
529,3595,7069.579414
74,588,7076.671655
82,445,7082.3681
356,3162,7131.690104
80,791,7141.589988
1000,8543,7250.99742
31,191,7252.910612
62,463,7267.142045
50,436,7272.413393
105,810,7280.940051
28,203,7283.887708
26,170,7285.495082
654,4751,7352.889943
59,359,7357.397336
346,2776,7388.432034
136,960,7401.798434
353,2854,7448.954405
40,318,7453.301961
115,1103,7466.165893
89,779,7475.204226
27,183,7478.358628
128,1150,7491.712301
75,400,7496.517749
36,202,7498.315284
259,1737,7543.365476
96,545,7549.567287
121,919,7560.478824
1000,7646,7658.143736
58,492,7664.135862
25,181,7665.775449
88,636,7675.49728
141,1931,7703.689229
93,830,7713.701623
415,3694,7755.898709
162,1341,7775.991926
79,564,7782.28537
25,179,7784.008461
193,1505,7805.436059
26,193,7808.320613
597,5859,7879.890547
25,180,7881.695485
294,2589,7912.637866
62,592,7919.41667
231,2071,7953.051978
27,170,7955.092986
408,4093,8003.842771
93,956,8018.282106
25,199,8020.242558
25,176,8023.271116
94,770,8031.9353
450,3271,8073.617418
249,2415,8106.818311
32,187,8109.699268
300,2705,8139.886868
28,211,8141.881125
1000,8606,8261.172471
89,685,8268.474381
40,406,8273.516029
1000,9544,8405.258655
145,1018,8416.584128
25,178,8418.228853
1000,8315,8541.602787
291,4132,8589.971778
116,1136,8629.52261
116,1100,8641.818645
484,4668,8694.17601
351,2604,8730.325799
26,203,8733.335436
24,193,8735.153981
678,5983,8820.31719
29,194,8822.187964
122,746,8830.400026
25,183,8833.30592
126,1284,8847.498409
1000,9706,8984.722296
27,210,8987.893851
108,794,8996.524481
319,3717,9044.520655
92,855,9057.40288
119,1671,9077.109589
295,2904,9110.496707
143,743,9125.835156
22,206,9127.786303
22,197,9129.600448
40,344,9133.995546
73,618,9140.89234
683,7004,9233.423344
313,4510,9295.131344
61,561,9301.366258
26,226,9303.381537
384,5345,9378.05216
27,254,9380.364532
24,189,9383.324897
69,895,9393.088711
22,198,9396.095994
22,210,9398.040841
1000,13927,9584.391601
27,211,9587.482751
1000,12739,9787.686239
134,3015,9840.037316
1000,13373,10026.263866
1000,14560,10222.314145
1000,10867,10379.001117
798,12788,10578.79568
27,623,10585.407465
277,3959,10650.071674
25,215,10653.039991
163,1023,10664.093789
30,254,10666.314539
332,3735,10730.900059
117,1768,10753.080536
527,7669,10856.280097
443,5882,10937.259632
1000,17236,11186.661005
1000,15478,11394.720545
1000,17433,11665.318013
1000,18122,11963.34606
1000,19471,12334.342056
1000,18094,12662.060731
1000,17923,12940.964536
1000,19724,13270.735165
1000,19761,13600.091325
1000,18784,13920.502422
111,5827,14040.060561
1000,18022,14402.507026
29,2802,14433.745068
