#{"t_start": 1587284673.1980217, "env_id": "DronePathComplex-v0"}
r,l,t
20,687,11.383908
20,520,18.652082
20,542,26.226811
24,429,32.265935
23,561,39.28946
39,1398,56.289343
46,1293,70.450951
26,508,76.522542
59,1462,106.78873
272,3504,145.478816
1000,8917,349.041439
627,4928,403.162797
1000,8040,610.453694
1000,6725,740.575468
1000,6619,855.75357
1000,6506,974.767636
361,2238,1000.437987
1000,6859,1110.459865
955,6798,1218.171924
266,1990,1266.988914
791,7008,1402.011389
1000,7690,1534.879642
1000,6781,1661.835124
1000,7357,1788.161683
1000,7910,1964.608562
1000,7050,2089.306812
63,749,2097.133569
135,906,2107.823552
1000,6399,2212.15121
209,1237,2225.488866
1000,5919,2329.370713
1000,5961,2426.22961
119,629,2433.155607
193,1358,2448.809517
28,183,2486.576714
30,193,2489.642599
25,180,2491.436726
764,4950,2548.182996
156,1144,2576.533776
30,225,2578.706696
543,3624,2620.179179
355,3176,2675.700323
446,3533,2716.074382
71,491,2721.642654
244,1671,2753.466187
878,6763,2844.673853
110,836,2854.727427
824,6339,2936.037677
231,2092,2960.223482
163,801,2970.11562
444,3060,3014.520038
533,3762,3057.398933
790,6235,3140.40588
620,4504,3202.617795
31,260,3206.274944
50,387,3210.008086
458,2892,3263.636239
295,2238,3289.245023
194,1414,3305.382046
580,4748,3374.795419
47,378,3379.535905
52,342,3384.114862
123,495,3389.701521
258,2078,3420.011799
96,634,3427.133089
33,263,3430.780559
521,3095,3466.130933
49,305,3468.940599
24,184,3471.809221
84,458,3475.839208
65,322,3480.028211
148,1035,3509.945422
25,188,3511.782675
126,841,3521.848105
218,1288,3536.446111
227,1805,3556.812148
237,1553,3574.990802
229,1701,3601.617222
116,753,3610.406116
431,2786,3642.189032
217,1443,3669.348668
95,631,3676.817096
24,206,3680.129371
89,819,3689.371785
88,504,3695.682752
52,329,3700.343568
61,394,3705.464679
210,1714,3726.167756
25,173,3729.054785
230,1819,3769.643774
499,4022,3816.149446
25,186,3818.166291
199,1289,3833.731849
289,2263,3875.867541
160,1178,3890.987593
25,187,3892.856434
91,409,3897.782868
383,3658,3950.326437
200,1108,3963.473432
22,186,3965.191929
376,3977,4022.955444
21,190,4024.808072
333,3504,4066.302968
38,556,4073.164213
71,982,4085.321109
21,211,4088.677278
23,201,4090.799047
199,2102,4129.547239
59,355,4134.189571
79,468,4139.979062
119,1322,4155.278339
25,191,4158.521642
326,2745,4195.534842
24,205,4198.725258
25,185,4200.747511
147,1658,4220.152235
89,713,4229.016357
25,175,4230.759671
44,432,4236.396888
86,554,4243.264489
97,807,4252.277874
24,205,4255.399606
142,1044,4281.325138
21,209,4283.330835
66,591,4290.258866
23,199,4293.392233
57,622,4300.820184
234,2358,4328.784741
174,1614,4347.496032
378,3483,4395.776954
155,998,4407.350704
152,987,4417.62621
62,434,4423.070333
26,194,4426.188681
68,629,4443.931981
46,479,4449.732625
259,2143,4473.848713
25,192,4475.624417
201,1614,4495.544505
149,2177,4525.453686
72,466,4530.880507
153,1117,4543.57564
21,236,4545.951423
23,219,4549.11678
192,1390,4565.798026
111,623,4573.035545
65,1096,4585.642035
126,1185,4611.922661
23,203,4615.114393
120,918,4625.038832
321,2657,4656.395674
45,462,4660.690854
484,4116,4725.233972
53,540,4731.100184
25,226,4733.161566
25,179,4734.785513
58,544,4741.227165
179,914,4751.976372
