#{"t_start": 1587284672.731843, "env_id": "DronePathComplex-v0"}
r,l,t
22,422,7.36417
24,663,17.564538
22,361,22.090336
27,472,28.704027
22,402,34.16196
23,406,39.568527
63,868,50.496454
46,1388,65.755189
83,2164,103.720157
1000,10439,266.668676
1000,8011,472.134122
1000,8894,629.43535
1000,6820,760.564918
529,3517,841.015657
101,516,846.767713
1000,6526,967.150218
1000,6608,1075.097928
663,5029,1163.784678
275,2238,1188.126474
737,6273,1284.078191
649,4274,1389.113738
922,6642,1507.57225
1000,6841,1637.89358
1000,6889,1756.734344
632,4120,1846.622425
1000,7578,1977.099686
1000,7209,2103.573232
592,4783,2190.182044
1000,6675,2302.912317
549,3938,2346.119891
92,533,2381.682531
227,1885,2403.073888
780,6120,2508.664825
564,4460,2575.377925
281,1801,2595.151613
455,2639,2624.565128
94,599,2632.193503
385,2561,2681.077445
74,516,2686.850406
665,5467,2761.305104
26,177,2764.077346
774,5804,2844.347937
239,1760,2864.016414
418,2695,2895.809519
564,3744,2947.72457
118,937,2958.546063
29,185,2960.372791
479,3556,3010.624475
25,190,3012.501763
436,2693,3044.053418
171,1042,3056.195763
95,602,3062.831525
116,756,3082.799407
22,201,3085.84011
58,515,3091.681343
180,1504,3109.146368
625,4841,3174.368787
72,568,3180.925585
122,942,3191.725773
216,1813,3213.316689
257,1618,3231.742438
23,204,3253.246004
141,1088,3266.152699
27,221,3269.395488
932,5933,3351.492558
24,193,3354.558035
475,4455,3405.585098
399,3562,3452.503324
248,1659,3472.78343
94,686,3480.063954
23,178,3481.799433
596,4206,3548.631651
317,2927,3589.175014
86,869,3599.544224
177,1377,3614.99573
312,2556,3645.070976
151,961,3655.787463
665,4680,3723.547433
476,2605,3774.473968
110,851,3783.461937
248,1431,3800.043039
234,1825,3821.90661
110,740,3829.953481
24,191,3832.925438
543,4136,3897.965322
24,178,3899.63877
319,2603,3939.873211
21,226,3943.186296
23,189,3945.094937
25,185,3946.872554
197,1855,3969.415653
24,181,3971.173505
172,1320,3987.288898
106,847,3996.839094
21,189,3999.639442
111,1036,4021.989806
42,402,4027.10163
318,2706,4058.428429
22,228,4060.705683
74,400,4065.668206
24,178,4067.614921
40,404,4072.898806
385,3759,4132.906388
20,195,4134.946649
67,757,4143.751005
150,1249,4159.694117
131,1265,4174.058596
26,179,4177.071894
539,4196,4231.375245
124,604,4238.847164
24,188,4240.756477
122,774,4250.629056
104,1418,4281.308488
177,1743,4302.099793
78,844,4312.489202
91,838,4321.357457
118,703,4330.304242
106,631,4337.548675
25,214,4339.630959
235,1738,4367.483323
240,2377,4395.796654
159,1287,4410.273972
286,2267,4447.136367
130,951,4458.140365
292,2923,4492.22531
384,4184,4545.506685
739,6578,4635.714827
136,1048,4647.600233
26,191,4649.411216
244,2326,4677.068197
45,571,4699.233077
154,1370,4715.189846
26,223,4717.3691
283,2808,4750.014867
96,1010,4761.858372
134,875,4789.181638
145,1507,4806.839961
33,231,4810.099557
25,184,4811.810368
119,922,4822.512986
47,360,4826.744724
25,194,4828.591026
154,1190,4841.971059
62,699,4850.820848
104,568,4857.651281
25,182,4866.143501
269,2162,4891.001187
309,2692,4922.44312
24,189,4924.331316
896,8233,5045.827428
164,1030,5058.117516
25,181,5060.044871
26,182,5063.024537
24,191,5064.934711
147,1458,5081.949164
434,3824,5145.703382
360,3024,5178.671716
27,205,5181.806157
98,594,5188.346677
367,3003,5240.519101
54,484,5246.436445
24,210,5248.528336
24,187,5251.439796
48,555,5257.891512
443,4097,5313.263767
243,1597,5331.33882
60,595,5338.181061
43,328,5342.386917
240,1791,5362.121785
26,191,5363.907126
85,635,5376.882221
43,372,5380.481005
27,218,5383.849238
94,489,5389.615471
28,184,5391.473147
84,935,5402.816576
46,374,5407.530145
222,1609,5426.177369
26,166,5427.831987
93,576,5434.272828
163,1327,5456.45933
719,6963,5567.770354
24,199,5569.587835
147,1967,5592.678254
104,767,5600.941877
262,1886,5623.777741
72,382,5630.255482
311,3184,5693.994011
27,169,5695.542578
70,1165,5708.853762
642,6971,5803.425342
54,804,5813.381678
56,550,5828.947043
164,1057,5845.200253
25,171,5847.22228
52,307,5851.182207
127,1090,5863.579326
458,3349,5920.819205
1000,8771,6030.019812
164,1301,6043.796061
22,170,6045.499672
22,181,6048.399007
230,3212,6101.903604
46,546,6108.16996
39,411,6113.234025
1000,7711,6208.949348
30,177,6210.773382
124,813,6220.726775
28,190,6222.393527
126,1100,6234.138361
22,181,6236.837009
605,5233,6300.037384
631,4812,6378.101271
151,1181,6392.412959
365,3071,6432.295177
944,7422,6524.836869
24,172,6527.436813
185,1405,6542.965454
246,1600,6561.090024
58,494,6585.872842
21,182,6588.816176
38,253,6591.056274
31,193,6594.210285
26,188,6596.077808
186,1449,6612.65091
323,1647,6631.260501
355,2896,6686.780406
98,585,6693.247067
177,1528,6710.020619
25,164,6711.638453
518,3637,6781.263718
55,461,6786.620418
45,333,6790.693341
27,180,6792.436121
23,176,6794.078589
25,169,6796.714628
111,597,6803.368258
59,313,6807.257222
101,726,6814.789504
789,5966,6888.134022
28,242,6890.402137
281,2046,6913.915555
132,1021,6935.882924
24,164,6937.758035
632,5399,7005.460245
114,700,7017.447433
296,1722,7037.694566
275,1706,7056.503604
20,170,7058.083291
329,2201,7085.492424
25,170,7087.280168
56,353,7101.050343
180,1671,7120.633193
27,169,7122.798903
170,1062,7137.052601
61,479,7142.997967
26,164,7145.71864
602,4259,7201.657512
28,206,7203.685365
102,543,7209.854163
129,973,7221.009313
52,328,7225.147457
154,1128,7239.556803
28,217,7244.120615
101,977,7254.63557
108,914,7274.33036
213,1775,7295.65186
81,765,7303.451223
125,906,7313.836164
28,191,7315.555793
145,1117,7328.565464
24,175,7330.272237
20,181,7331.974095
233,1771,7367.088127
575,5625,7447.291939
76,687,7455.171272
21,179,7456.95771
66,441,7462.30867
22,171,7465.110662
26,179,7466.842139
33,293,7469.980047
220,1309,7486.498213
27,199,7488.338588
365,2750,7546.093342
25,172,7547.643655
28,176,7549.430358
49,364,7553.840997
52,294,7557.686414
24,223,7559.816367
225,1626,7577.702552
22,166,7580.335472
48,413,7585.338523
25,192,7587.272267
27,174,7588.879
25,179,7591.700183
88,841,7600.350947
841,7308,7703.27551
57,397,7708.028153
107,719,7717.012619
24,190,7718.788902
26,187,7720.603898
374,3005,7755.134572
322,2173,7786.088245
22,185,7788.68608
491,3906,7836.367445
278,2611,7870.984056
163,1466,7886.983456
47,703,7895.855079
28,185,7897.518731
390,3366,7945.128775
25,176,7946.931599
36,278,7951.874225
55,534,7960.358814
24,173,7962.148359
55,509,7967.947655
851,9071,8080.236852
21,187,8081.975077
24,200,8085.013695
659,6509,8163.684526
23,210,8166.753969
863,7784,8276.68305
99,931,8287.403488
298,2590,8316.02142
22,229,8318.037158
368,3332,8380.921104
354,2989,8414.113543
25,211,8416.141252
258,2559,8451.480069
1000,9370,8581.06769
282,2639,8637.411966
28,190,8640.370632
72,464,8645.727546
927,8233,8745.088094
106,1270,8758.493911
95,705,8767.022843
375,2991,8817.760892
175,2813,8850.910006
68,395,8855.701659
147,1222,8876.284283
532,4728,8932.043695
186,1164,8963.837076
1000,11062,9099.008742
242,1759,9125.784616
471,3884,9171.283756
71,643,9179.929615
23,220,9183.156209
605,5613,9256.259491
27,264,9258.633984
357,4406,9318.535676
27,208,9320.670334
695,8523,9431.637302
642,6583,9522.446475
23,207,9538.565835
854,9388,9672.687886
1000,10987,9843.761953
128,2035,9866.211266
85,795,9875.644849
56,478,9881.10384
84,1489,9911.640653
94,1649,9930.938357
312,3374,9968.111516
102,1115,9996.842462
1000,14237,10194.757158
374,9894,10329.177181
1000,13998,10550.175341
81,719,10557.849047
172,1427,10577.736934
22,225,10580.889807
1000,14977,10792.931686
70,740,10813.078416
59,485,10818.54842
21,579,10824.986757
157,4197,10877.299869
25,229,10879.367448
428,9407,11019.49919
150,1440,11035.687666
1000,15478,11263.310503
1000,16358,11488.391215
1000,14538,11742.940061
22,312,11745.821278
1000,17136,11995.238931
955,20000,12415.435791
1000,18459,12699.875562
1000,18690,12991.32183
1000,19393,13339.368982
1000,19081,13664.225667
1000,19482,14020.007151
1000,17410,14371.714603
918,20000,14781.457353
1000,19986,15185.770228
23,2238,15210.062605
1000,19261,15611.468138
839,20000,16121.19443
23,2088,16143.852461
1000,19881,16594.651385
984,20000,17072.840267
1000,19267,17590.67158
67,3982,17737.371517
23,2027,17759.541654
33,2433,17868.099687
58,2016,17890.188904
