#{"t_start": 1587284672.109237, "env_id": "DronePathComplex-v0"}
r,l,t
91,666,12.10389
40,542,19.825663
21,369,25.23384
24,581,33.112788
68,638,41.065698
22,750,49.527071
71,770,59.313254
109,1550,76.849628
23,1452,107.102616
1000,9699,261.263762
1000,8532,472.28619
1000,6666,604.17602
1000,5773,724.907625
753,4741,777.262617
639,4379,867.681846
1000,6360,985.371805
951,7529,1103.616658
1000,7494,1218.816118
1000,7014,1380.211829
392,2197,1404.646943
452,3455,1443.293321
1000,7297,1623.278512
604,4497,1673.718233
1000,7162,1840.083008
998,6496,1958.638682
975,6844,2080.432131
1000,6242,2182.578412
331,2609,2211.440502
729,5658,2313.095459
105,789,2322.445658
1000,6557,2425.641972
798,6085,2530.880475
586,4879,2601.468004
185,1575,2618.925627
801,6380,2711.788244
319,2709,2755.382838
115,678,2762.568955
28,199,2765.612189
789,6620,2855.63062
189,1168,2868.562028
236,1870,2890.605176
469,3040,2934.469252
470,3750,2977.719216
23,207,2979.645246
217,1088,3001.340262
384,2845,3034.234995
218,1750,3053.961833
342,2705,3097.651283
109,711,3105.352744
466,3227,3142.052747
168,1034,3164.337458
406,3222,3201.891783
19,196,3203.826448
413,3040,3258.604735
49,299,3262.786225
253,1807,3283.502567
99,721,3291.234483
262,2427,3318.853235
26,194,3321.919333
221,1697,3356.217871
79,600,3363.075842
101,674,3370.265104
214,1612,3390.028075
119,635,3397.309092
511,3897,3447.663949
107,885,3457.939219
23,197,3461.056333
780,6773,3556.136439
57,381,3559.760665
45,262,3563.450471
329,2204,3595.999452
236,1911,3617.592474
25,189,3619.328093
130,951,3630.761589
362,2754,3674.016036
165,1623,3693.522682
56,345,3697.203352
210,1501,3715.770574
135,647,3724.572801
228,1210,3739.022781
25,169,3740.838367
22,184,3743.979725
680,4363,3812.830852
61,459,3818.61836
318,2819,3867.991544
551,4777,3923.926583
110,870,3944.810538
24,197,3946.634799
26,191,3948.476039
23,184,3951.242988
240,1900,3974.534214
37,326,3977.489019
21,221,3980.711074
168,1241,3995.297644
54,487,4001.099476
258,1986,4034.803459
69,490,4040.643755
150,1105,4053.166677
123,1242,4067.63118
68,951,4079.588104
102,1490,4112.059974
60,558,4118.604671
114,1128,4131.539046
188,1637,4152.292018
22,208,4154.370618
24,233,4157.804636
75,882,4167.89643
128,1203,4183.202647
57,404,4191.410232
136,883,4202.618799
44,567,4209.521453
20,192,4212.424646
292,1494,4228.52128
88,1238,4244.768692
112,824,4254.992653
240,1538,4286.811778
24,225,4289.117309
140,1111,4302.494807
52,339,4307.117295
368,3428,4346.095747
71,440,4351.481435
23,210,4361.022523
375,3222,4398.99631
220,2131,4423.537963
454,3935,4480.207795
26,210,4482.155931
142,791,4491.900791
103,876,4502.503274
57,335,4505.678772
105,901,4516.315071
117,643,4528.462362
173,1028,4540.261411
170,1209,4555.321757
154,665,4562.893091
250,1923,4585.71391
22,217,4587.732639
232,1654,4619.708508
591,5557,4700.202771
189,1025,4711.719903
582,5045,4787.97504
26,202,4789.958743
123,1159,4804.340265
28,189,4806.11463
524,4563,4865.543535
82,681,4873.382153
22,225,4876.708091
29,248,4878.928015
29,210,4881.909619
380,2723,4912.879369
163,1394,4929.059025
59,450,4934.164833
693,6605,5036.113494
25,189,5039.053277
250,1726,5059.086323
25,189,5062.191892
28,207,5064.291946
25,208,5066.320141
25,181,5069.216759
28,204,5071.119622
329,3212,5107.61314
84,636,5135.100257
397,4139,5181.847086
116,953,5192.919815
28,196,5194.866159
25,168,5196.474574
106,715,5222.386603
298,2961,5256.303481
466,4228,5314.289644
193,1784,5333.955346
211,1630,5352.545614
224,2296,5384.656879
1000,9533,5501.119867
21,197,5504.272775
151,1668,5523.148902
138,1216,5568.499116
131,587,5574.984527
70,779,5583.354165
