#{"t_start": 1587284673.1061487, "env_id": "DronePathComplex-v0"}
r,l,t
32,836,13.435028
25,443,19.651237
26,372,25.202583
23,343,29.280897
31,767,39.638943
31,1300,54.556686
55,2161,80.421663
1000,12889,341.726252
1000,8178,491.405405
1000,7478,631.622075
1000,6857,764.132653
1000,6725,880.21075
1000,6398,998.196321
272,1671,1052.285316
1000,6173,1152.951376
1000,6356,1249.297418
1000,7709,1392.027856
1000,7469,1522.435676
1000,7585,1659.300426
1000,7799,1789.648364
1000,7863,1965.650331
1000,7272,2092.289538
609,4550,2176.206782
842,6529,2287.509128
665,5408,2348.41045
1000,6377,2485.255471
29,192,2487.077536
291,2401,2514.880475
159,1760,2535.547708
29,209,2537.570944
107,858,2547.704891
757,5015,2618.819942
205,1201,2633.2986
28,191,2635.008963
617,5231,2713.914734
116,947,2724.718573
59,507,2730.582576
837,6317,2815.303607
326,1922,2851.828964
123,690,2860.5377
706,5470,2931.46041
348,2512,2960.895147
24,190,2963.872799
134,779,2972.192312
22,207,2975.332742
240,2022,3007.690198
323,3635,3049.371623
52,286,3052.029915
25,201,3055.011322
858,7035,3146.81611
328,1845,3178.765382
803,6218,3270.463861
26,187,3272.250034
103,838,3282.294475
117,857,3292.545011
159,1119,3304.713525
87,616,3311.251049
84,643,3318.661896
501,4228,3383.615483
428,2805,3421.694825
56,517,3427.740759
23,210,3430.798269
104,741,3438.854627
415,3418,3478.075529
281,1929,3517.716724
43,300,3521.539226
112,851,3531.283767
145,1006,3542.613325
32,214,3544.713648
150,873,3555.057606
48,304,3558.024308
54,298,3562.015054
116,683,3569.684713
77,453,3574.987792
150,1194,3595.824169
438,2823,3628.282041
27,217,3630.524343
93,676,3639.115956
477,3776,3694.082203
272,2672,3727.029692
396,3004,3782.117087
90,515,3787.983794
50,279,3791.803975
135,690,3799.197991
229,1258,3814.292071
34,223,3816.555452
201,1188,3830.137964
397,2788,3879.864343
97,562,3886.733188
207,2324,3913.047506
362,3754,3968.220258
23,287,3971.105458
219,1673,3991.87266
231,1980,4024.436525
361,4487,4078.211327
24,187,4081.325794
25,192,4083.082312
95,1306,4112.534242
88,616,4120.85773
68,521,4126.793535
117,1031,4139.121567
62,887,4149.14777
20,201,4152.24213
222,1300,4167.65145
142,1074,4180.466504
96,1091,4198.928762
106,574,4206.018763
22,199,4207.950346
363,3585,4250.818176
172,2512,4294.691467
81,649,4302.277043
249,2081,4326.378878
23,190,4329.305982
23,214,4331.538515
126,962,4342.853997
188,1730,4369.766085
22,200,4372.925169
45,428,4378.412433
273,2002,4401.517093
177,1654,4420.321847
396,2931,4464.296643
57,445,4469.446129
24,184,4472.297109
172,1797,4492.7988
89,670,4501.279561
108,839,4510.352687
23,187,4513.272892
177,1551,4536.068001
470,3242,4573.921538
51,480,4579.649078
139,1353,4607.364703
22,196,4610.360822
99,957,4621.804198
48,267,4624.373182
577,4331,4675.160826
24,206,4677.227807
132,1701,4711.954677
46,386,4716.655135
194,1698,4735.763797
23,175,4738.566457
25,195,4740.400206
103,881,4750.732919
556,4014,4815.519487
93,998,4826.779114
561,4859,4889.730869
25,176,4892.543923
69,511,4898.495173
97,846,4907.379296
86,643,4914.300103
64,556,4921.52267
517,3904,4975.171124
135,862,4985.678071
165,1499,5002.680156
26,173,5004.314886
206,1227,5036.653541
357,2357,5064.141548
58,367,5068.873929
132,1632,5087.620528
784,6957,5186.182938
25,189,5188.044715
114,799,5197.923593
313,2210,5240.268
30,295,5243.059834
24,206,5246.390485
325,3080,5281.676104
46,417,5286.821098
27,193,5296.997253
344,3911,5342.551474
396,4063,5394.521523
347,3799,5438.496649
224,1523,5462.658917
138,1598,5480.82442
21,201,5483.842333
23,181,5485.510428
73,321,5489.416652
24,172,5491.04708
752,7084,5604.013381
100,449,5609.479057
23,165,5611.177176
221,1909,5663.078175
169,913,5672.563606
22,258,5676.052024
21,220,5678.061809
243,2488,5706.887002
282,1739,5727.533896
80,1491,5758.059758
21,207,5760.171033
55,875,5770.94284
72,1961,5792.953252
165,1112,5806.734141
413,3620,5862.256234
27,191,5864.221747
371,3228,5920.168548
669,5667,5984.024203
23,170,5986.746785
574,4402,6044.825434
345,1666,6065.057523
1000,6180,6152.009703
802,7570,6250.2913
244,1753,6270.427263
241,1761,6289.718935
61,906,6300.301143
27,164,6301.837125
45,536,6308.055937
94,656,6340.106706
26,165,6341.838482
680,4576,6393.601135
27,177,6395.253715
27,187,6398.053753
26,166,6399.595611
74,374,6404.004733
1000,6392,6480.711964
28,199,6483.630288
720,5867,6559.205435
57,406,6564.356114
102,722,6591.154585
102,787,6600.99922
60,604,6607.627673
341,2271,6633.029865
108,880,6643.285583
986,7961,6784.485333
397,3424,6822.315126
27,198,6825.276418
892,7177,6912.118801
505,3879,6971.535487
918,6770,7054.150427
29,178,7055.799815
133,658,7062.996016
761,6160,7148.479033
26,187,7151.409513
45,217,7153.534532
110,757,7162.58789
45,263,7165.102763
25,176,7166.74929
605,3731,7217.692765
26,194,7219.529715
26,199,7221.462928
379,3017,7268.506051
24,182,7271.397462
219,1408,7286.69721
21,178,7289.634824
632,5604,7367.080503
142,1155,7379.682169
354,2374,7411.130791
578,4381,7474.47332
1000,8993,7603.747119
24,192,7605.604877
143,1400,7632.280571
71,526,7638.325965
109,649,7645.336226
150,968,7656.805514
309,1954,7683.450823
1000,8020,7785.962375
225,2308,7814.881937
24,172,7816.694592
752,6051,7891.430811
109,877,7901.80124
362,3164,7946.392297
21,180,7948.311918
334,3018,7986.779045
28,219,7989.951797
73,712,7997.566545
25,180,8000.277755
130,725,8008.390387
202,1534,8029.779636
25,187,8031.665037
82,580,8038.497717
26,178,8041.363389
24,181,8043.064112
958,8053,8144.454283
137,1182,8157.073813
201,2037,8185.331566
23,188,8188.243322
164,795,8196.487807
317,2957,8232.851756
23,185,8235.144639
40,242,8238.735287
354,3597,8292.916491
222,2522,8321.056044
107,781,8329.315645
61,396,8358.611138
29,273,8361.114484
1000,9094,8469.877733
22,211,8472.899589
26,246,8475.192999
473,4268,8545.87591
130,809,8556.270663
129,874,8566.917835
45,370,8570.361555
29,222,8573.46519
45,312,8577.439792
372,3178,8639.76128
735,7471,8730.175566
294,3342,8767.854724
24,207,8769.805783
292,1797,8808.427304
121,773,8816.452673
77,535,8822.80717
157,1336,8838.810988
1000,8958,8967.33903
196,1653,8986.733154
41,503,8992.500693
25,220,8994.525818
25,251,8998.184417
25,199,9000.101462
327,3258,9042.594
