#{"t_start": 1587284672.2993014, "env_id": "DronePathComplex-v0"}
r,l,t
31,764,13.248372
23,434,19.385646
28,581,27.686042
25,550,34.738673
62,948,46.581016
26,371,51.474908
74,2267,77.153827
47,699,98.025724
24,694,106.754713
1000,11519,338.917183
1000,8102,487.857821
1000,6666,619.669759
1000,6345,746.42366
529,3136,781.275804
450,2722,852.515206
352,2106,875.869496
1000,6655,997.104707
873,6529,1104.365488
1000,7938,1250.862492
926,6914,1385.256374
1000,7049,1509.758661
312,2517,1539.491179
1000,7004,1668.518601
1000,6683,1786.288476
125,668,1794.776301
29,179,1839.181498
1000,7705,1970.977572
829,5850,2081.587351
1000,7116,2193.856558
921,6858,2309.33634
191,1574,2326.880812
1000,7943,2445.034842
629,5502,2544.187196
174,844,2554.351112
101,564,2576.153828
209,1306,2590.311032
110,748,2599.272658
730,5791,2683.986245
738,7169,2778.441765
394,2397,2805.244609
875,6745,2897.789076
228,1589,2924.73956
1000,7031,3015.77204
26,173,3017.354925
27,178,3018.986446
290,2229,3045.110668
237,2003,3079.980981
157,881,3089.390895
73,405,3094.241858
427,3107,3129.762681
25,202,3132.823511
595,4030,3189.49061
119,813,3198.242566
664,4589,3271.673093
721,5308,3346.704771
65,531,3353.902194
38,332,3357.306559
26,208,3360.306689
420,2895,3393.215008
247,1217,3408.040996
28,243,3410.297923
24,183,3418.161654
400,3235,3455.875323
333,2243,3481.372692
214,1093,3511.821885
83,831,3521.735303
355,2469,3549.937599
116,537,3556.033519
24,177,3557.596803
167,1499,3575.239466
25,181,3577.064877
241,1775,3605.340595
685,4027,3652.241327
65,489,3658.37055
120,1142,3681.509767
176,1510,3699.985662
346,3361,3740.882223
439,2891,3794.065188
25,186,3795.797749
236,1282,3810.898698
336,3185,3864.36982
179,1151,3877.831804
35,272,3881.67259
436,3972,3938.304188
22,225,3940.611731
157,1326,3956.816057
25,214,3958.945621
25,192,3961.97404
416,4393,4023.597208
71,649,4031.01828
125,802,4041.116614
173,1454,4058.103953
20,224,4060.27558
95,761,4070.26564
23,216,4072.4358
90,1140,4086.085281
386,3502,4142.530983
90,904,4153.630073
67,376,4158.572602
94,636,4166.109009
141,999,4178.14887
229,1962,4206.69126
54,616,4213.758527
191,1715,4233.348276
24,196,4236.580876
18,214,4238.93281
291,2730,4284.815188
159,1565,4304.007111
581,4119,4351.96221
25,205,4361.542344
109,730,4370.162223
633,4597,4423.819082
361,2803,4467.611636
185,1512,4484.929131
84,607,4492.070412
28,208,4494.078603
23,206,4497.168111
21,212,4499.126691
66,535,4505.149093
83,423,4510.333896
133,1190,4528.730241
300,1861,4550.857772
154,1429,4567.939605
75,651,4575.365105
134,1077,4587.79094
467,5101,4659.802474
21,203,4661.729021
1000,7741,4767.790876
28,184,4787.446436
73,629,4794.688714
73,481,4800.263545
28,238,4803.699772
59,637,4810.807573
382,2766,4841.7504
212,2175,4874.202328
258,1752,4895.154285
872,6927,4983.318628
118,962,4994.425485
325,2604,5041.730064
282,2538,5072.075454
27,180,5074.846362
27,175,5076.447542
193,1634,5095.370004
96,672,5103.571235
64,474,5127.372231
26,166,5129.943933
171,980,5141.270277
26,175,5142.909765
578,4523,5194.327233
583,5148,5271.200372
404,5521,5343.595406
63,552,5349.569184
329,1962,5376.944031
146,1188,5390.891256
299,1618,5409.90223
182,1535,5427.902138
358,4139,5481.97025
335,2580,5511.82844
103,478,5517.177672
24,181,5520.031996
60,587,5557.461289
26,191,5559.180269
