#{"t_start": 1587284672.6394114, "env_id": "DronePathComplex-v0"}
r,l,t
33,756,12.75476
24,488,19.708392
58,884,32.189427
21,516,38.820215
25,447,44.478694
171,1109,57.461869
131,2357,97.062308
1000,12234,338.198659
1000,8197,488.097218
352,4678,597.528645
1000,6249,723.677388
1000,6095,831.669003
1000,7293,961.045888
523,3423,998.342034
1000,7103,1111.910826
938,5957,1210.87242
926,7943,1381.73714
799,6050,1494.162278
867,6429,1620.511983
1000,8485,1757.208488
817,6655,1875.153136
490,3619,1961.264455
632,4073,2006.36576
1000,6644,2127.052216
1000,6396,2231.425502
212,1241,2283.137595
1000,7218,2393.40351
808,6478,2503.160512
296,2514,2531.771691
315,2196,2556.732333
35,273,2575.911934
32,208,2577.928529
816,5599,2640.928967
767,6486,2747.767396
309,2738,2778.349616
505,4031,2839.082895
192,1270,2853.005354
355,2033,2876.412107
25,183,2879.357106
720,5290,2948.867219
24,181,2950.569233
192,1001,2962.264357
26,193,2965.26573
24,183,2966.98836
108,576,2973.476142
172,939,2984.270448
89,539,2999.748634
700,6147,3081.974441
333,2668,3112.491882
365,2464,3140.774611
26,193,3143.833687
31,230,3146.039545
53,353,3160.863833
250,1713,3180.040476
290,2227,3205.178547
157,876,3215.87854
292,2014,3258.586849
729,5227,3318.5906
363,3376,3373.114797
128,881,3383.855895
130,1074,3396.198259
131,1036,3408.260613
589,5710,3479.62795
686,4687,3551.081038
222,1484,3568.557668
25,212,3570.524402
198,1195,3592.280176
26,189,3594.070061
53,502,3600.065738
346,2367,3627.024195
195,1446,3643.190467
77,539,3650.747218
25,220,3653.134711
466,3235,3701.935001
216,1323,3718.574562
116,678,3726.580198
20,193,3729.817264
92,608,3736.856561
242,1456,3773.760485
280,1360,3788.657399
217,2478,3817.546185
45,300,3821.533032
92,536,3827.55479
447,4402,3895.33725
196,1220,3910.117895
210,1314,3924.66118
269,2043,3959.18678
412,3443,4000.495421
80,741,4008.42612
197,1161,4033.458371
25,187,4035.31644
176,1611,4053.800464
138,1527,4072.445406
24,194,4075.54249
22,202,4077.56469
98,670,4085.329398
23,197,4088.483617
162,1765,4123.378351
66,427,4128.450652
328,3421,4170.357179
47,486,4176.176786
349,2904,4215.030404
249,1948,4238.358266
21,211,4240.59294
45,580,4248.686481
39,502,4254.695284
245,1718,4288.286774
26,201,4290.217425
23,200,4293.375476
98,604,4300.518379
