#{"t_start": 1587229207.373814, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5812,70.656763
300,5079,151.548403
283,4530,225.948286
300,4867,299.938452
300,5110,377.743216
300,3327,415.259085
300,6697,514.825843
300,5523,604.231023
300,6583,704.060286
140,2683,794.027851
300,11079,936.222906
300,4803,1013.745777
21,2054,1036.605836
300,5506,1114.671771
300,5201,1195.673907
94,795,1204.004551
300,7578,1314.385369
300,6093,1415.789055
300,6627,1523.678774
300,2991,1572.890961
300,7792,1677.680672
300,6603,1792.001963
300,4818,1871.265427
300,2890,1922.334558
300,5101,1979.09765
300,2620,2054.438554
300,5564,2134.430945
91,648,2141.409743
300,4061,2191.312323
88,516,2197.060441
150,967,2242.013133
300,3964,2287.595833
135,748,2298.136121
300,4952,2378.162531
300,2596,2446.423434
84,515,2452.052708
300,4454,2505.064695
300,2621,2585.571442
300,3610,2627.7943
300,4301,2713.125612
300,5164,2802.250488
144,1272,2816.932192
251,7218,2958.595649
71,389,2963.14696
168,1098,2979.33358
300,4546,3057.022865
300,9952,3215.577575
300,2757,3248.822388
300,8534,3411.998308
300,4837,3470.203035
300,4700,3543.474719
300,2183,3567.577583
300,3034,3609.301983
102,694,3616.544391
300,4633,3692.022826
300,3216,3732.178761
300,3465,3778.986192
300,2538,3807.592061
300,4643,3881.485519
95,714,3890.243332
101,1033,3901.927196
130,1480,3926.811371
300,2747,3959.426575
149,2164,3983.395264
300,1632,4046.697695
300,5709,4147.131347
300,3551,4186.624805
223,1671,4206.117838
288,5647,4331.742643
300,3662,4403.335784
300,3928,4452.11346
300,3633,4512.559843
300,3307,4574.073683
