#{"t_start": 1587229207.333483, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,6203,75.280948
300,4864,153.220375
300,5317,235.750587
300,4648,308.827627
300,5167,387.063356
300,6662,486.512791
300,7785,601.633173
280,4861,681.327321
300,5585,803.100589
300,5312,882.493172
300,6784,979.531415
300,11912,1149.050232
153,5046,1209.625733
300,5906,1301.515667
137,1639,1352.994192
199,3430,1390.510593
300,4642,1472.436016
300,9942,1603.485962
300,4904,1676.610931
300,10382,1858.741731
300,3925,1904.797005
203,1778,1940.457361
300,5119,2043.710197
300,5854,2126.227894
300,2821,2158.615086
300,4316,2244.610595
181,1193,2258.523001
300,3494,2300.950228
300,2070,2345.306419
92,432,2349.255826
300,2633,2384.213581
300,2197,2446.866777
300,4342,2496.817184
300,3792,2594.090658
300,3603,2634.174034
300,6188,2740.622416
300,4944,2826.723338
300,3122,2924.1027
300,4815,3009.365228
300,5206,3067.128338
300,5205,3155.977641
300,3890,3215.740651
224,1904,3237.478683
300,4350,3341.442229
300,6559,3429.204619
168,1981,3456.1436
27,3504,3510.583179
187,1401,3525.485943
300,3993,3583.151462
300,2727,3612.706185
152,10662,3768.258111
300,4365,3817.788338
300,5547,3902.195682
300,5301,3971.599887
165,848,3981.44457
198,2568,4055.457932
300,2938,4087.689458
300,2263,4150.233212
300,8521,4303.864499
78,627,4310.56566
300,5323,4404.7656
216,2558,4437.401679
300,5690,4521.252685
300,3289,4583.518662
259,3497,4621.920344
173,2735,4671.64895
170,1552,4688.796621
