#{"t_start": 1587229207.5544775, "env_id": "DronePathComplexFB-v0"}
r,l,t
202,4599,54.768757
207,3522,115.024264
300,5902,209.911474
300,5171,287.723639
300,3605,327.387124
300,4375,397.785946
195,1761,416.999012
300,4841,495.554194
300,5486,585.709594
300,7848,700.118247
139,7912,847.214346
300,6455,938.767421
300,4500,1011.435401
300,10966,1173.751736
300,5394,1258.898695
300,3858,1302.599282
169,1970,1358.107095
300,5872,1447.547713
179,2528,1480.627765
300,6495,1573.815114
300,3579,1627.243067
300,3409,1669.072683
300,4342,1758.60979
300,4460,1834.748526
300,4169,1881.258941
300,2372,1925.275011
300,4024,1970.169508
300,4678,2068.441648
300,3670,2128.051237
300,3994,2173.165883
300,2263,2236.224038
300,5957,2306.296713
118,704,2334.93997
300,2765,2365.753401
300,5145,2465.642778
300,4536,2568.338775
300,7101,2687.777755
264,950,2701.017862
238,3597,2740.654894
96,491,2775.731069
300,5162,2835.212779
300,3316,2933.106098
300,2032,2955.870434
300,10853,3140.811257
300,6518,3228.767552
300,2617,3262.242499
300,5174,3373.588586
300,8114,3496.334081
300,5505,3562.984423
101,844,3580.99456
300,5617,3646.295585
300,2476,3694.844087
300,3980,3742.951148
300,3023,3784.63624
300,13830,3972.318482
300,2906,4050.462676
300,3687,4091.663102
118,824,4101.222876
300,3483,4176.825919
300,3195,4212.192339
300,6080,4343.24344
165,1248,4387.01329
159,1527,4404.224106
300,3283,4444.803791
300,2614,4495.304722
192,3037,4530.883247
300,3204,4589.530289
