#{"t_start": 1587229207.4715502, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,4011,46.358317
300,5066,129.736584
300,5989,221.550519
300,5222,299.853401
300,3735,340.719944
300,3062,396.00913
300,4508,471.753124
300,7431,583.688271
300,8494,703.862531
300,7682,848.923606
69,2709,899.163452
300,5617,985.117931
300,6852,1078.526793
300,4841,1149.984089
133,6679,1253.879846
262,3901,1297.945376
41,6176,1400.210995
189,1860,1445.760596
300,7586,1555.847903
24,2025,1578.486698
300,7238,1677.152987
299,2299,1740.140704
156,1127,1755.104403
300,7156,1861.12272
300,4602,1930.769987
300,4766,1984.76538
300,3359,2067.622986
300,2873,2102.65057
300,4545,2169.193926
300,3355,2244.124634
300,2381,2270.997385
300,3485,2334.562899
300,2480,2362.714169
222,4540,2455.108294
300,5355,2567.307948
300,2562,2600.526609
300,3486,2673.200713
300,5019,2732.238432
300,3099,2799.701174
300,5451,2921.139991
300,3586,2961.762347
234,6645,3067.187716
283,1944,3120.231632
300,2465,3147.764636
300,4136,3209.642517
97,702,3217.172859
186,5262,3330.544753
300,4896,3388.808271
176,1690,3419.711306
300,9408,3550.029725
300,2437,3585.649278
238,1805,3604.866237
300,6851,3704.803425
300,2848,3741.472727
231,2908,3782.134863
300,4764,3857.221119
300,2655,3886.81731
300,2026,3909.880344
300,3943,3964.718606
116,772,3972.765467
300,4461,4068.399971
217,1945,4090.432267
300,2251,4151.783303
248,2131,4175.196434
300,2406,4202.305887
300,3869,4304.344244
300,2544,4337.389374
205,2561,4396.476231
147,991,4407.672866
300,3008,4444.621784
300,1206,4479.190205
300,2682,4508.682827
97,819,4518.225681
300,3870,4585.769781
97,921,4596.28308
84,1906,4617.69418
153,1248,4635.278364
