#{"t_start": 1587229207.1776092, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,6041,72.902549
300,5029,153.412509
300,5380,237.687449
124,1621,259.706074
300,4319,323.00888
300,4596,395.399536
300,4698,472.9205
134,2284,498.727284
300,8080,617.510249
300,4351,691.757378
300,6207,820.253035
300,9082,941.003762
300,10599,1100.418167
300,13365,1296.907962
25,2915,1362.081108
300,9910,1502.901832
300,3784,1564.772332
300,7596,1667.704408
300,5468,1769.648667
280,3860,1838.198408
300,3646,1878.783936
300,2788,1928.825028
300,4673,1980.631721
300,6091,2095.463682
300,2396,2139.858283
300,3863,2186.872242
300,3213,2256.289783
300,3994,2305.510698
300,2630,2354.921218
250,3839,2441.318036
300,3496,2480.472564
300,4757,2588.243129
151,802,2597.940715
300,3393,2669.736458
300,3720,2715.15941
300,5131,2804.057286
300,2719,2834.763411
300,6565,2973.635292
215,3954,3045.053812
276,2060,3068.01379
300,5060,3155.54645
75,367,3159.978517
300,7796,3267.060883
88,580,3322.691033
300,5113,3384.134101
300,4301,3449.829374
300,3218,3500.557188
115,967,3511.575479
300,3676,3557.30497
300,1885,3586.676789
300,5229,3647.677157
300,2941,3701.378435
141,1204,3716.766004
100,982,3729.969495
300,11803,3892.007058
148,843,3901.940935
72,369,3905.330918
182,3391,3954.084686
300,2689,3983.94463
300,3217,4064.956468
260,1734,4085.196421
253,2352,4147.342964
130,1058,4160.213797
300,4158,4206.256394
72,491,4211.795191
300,5530,4335.570323
300,5747,4434.576502
218,1359,4450.110151
300,2164,4495.356812
300,4825,4573.673429
300,2381,4600.404721
300,2641,4633.138453
