#{"t_start": 1587229207.097973, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5519,67.180904
300,5608,154.032529
300,5283,237.395653
300,3594,297.680487
300,4615,349.998294
300,4332,417.605134
164,1654,435.775116
300,5080,517.455955
162,1460,533.779926
175,2178,586.702232
300,5685,675.985764
300,5239,794.636857
126,1711,813.400496
300,6749,907.939605
300,6971,1009.25984
300,12315,1186.037018
27,2028,1208.743749
300,3886,1276.778336
101,2795,1308.801196
300,3890,1384.861392
300,3807,1453.224936
300,10613,1596.376835
300,13895,1835.717535
300,4940,1890.332822
300,5478,1969.816613
168,6431,2088.462033
100,801,2097.701631
300,3796,2157.630527
300,3970,2239.457918
300,4323,2289.828552
300,3154,2347.739626
300,4845,2444.325271
250,2852,2476.564805
300,4965,2586.966411
153,1054,2600.410231
217,1775,2619.64573
300,4747,2711.266015
300,3798,2784.582148
300,5466,2907.410685
300,4656,2959.163626
300,6107,3059.321559
300,6938,3168.755073
118,583,3177.412732
112,3244,3226.350437
300,8929,3383.553628
300,4243,3446.585413
122,2461,3475.367533
300,10560,3621.216023
205,996,3632.32407
300,4523,3707.095225
300,2587,3740.350331
224,1711,3766.978051
283,2335,3793.442017
98,480,3797.783562
300,4691,3873.389393
300,9795,3993.569536
300,3045,4073.163572
195,2988,4106.66646
300,2278,4168.200567
300,3098,4202.557664
295,3667,4301.731163
300,5266,4396.347384
22,2023,4417.906666
112,553,4426.265027
300,3309,4486.343385
300,4400,4539.482435
300,4313,4608.158507
23,2127,4635.911122
183,4607,4701.770644
