#{"t_start": 1587229207.2178907, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5617,67.95146
300,5501,153.823062
300,5796,244.304824
300,5357,321.917421
300,5006,399.044134
300,5745,488.064862
26,2027,510.541004
110,4043,584.545667
300,6250,679.947088
50,11166,883.587314
300,6458,975.165422
300,5449,1039.16887
39,9187,1181.320577
168,2203,1205.555108
300,5060,1287.53691
32,3337,1358.782579
139,7016,1464.459847
300,8543,1581.603861
300,4266,1642.974155
300,6040,1754.95406
300,4347,1804.096015
216,2044,1852.927012
300,4589,1922.550545
300,6069,1992.337639
300,4497,2085.846052
81,441,2091.066675
300,4709,2161.199691
300,3701,2241.677227
300,3238,2277.422856
300,2575,2330.413572
218,1846,2351.659903
143,1116,2364.110943
300,4860,2460.388358
300,4851,2567.033349
236,2502,2599.711226
300,5225,2695.180468
300,5844,2791.85413
300,5551,2915.365881
300,3511,2954.455712
300,3555,3026.324981
300,5141,3114.758945
300,7169,3210.332257
300,3851,3257.300407
78,382,3261.84074
300,5353,3375.912546
209,981,3386.878615
300,3889,3445.323925
59,272,3450.211379
216,2878,3496.694581
300,8479,3604.519858
300,4463,3678.248516
300,2680,3708.210268
300,3330,3757.234993
213,1795,3777.626663
300,3161,3813.040573
60,2325,3861.470626
300,4300,3909.537002
300,2591,3948.77475
241,2695,3978.647808
89,562,3984.869015
292,3296,4067.752989
300,2126,4091.438764
71,361,4095.748506
300,2340,4157.879949
300,6510,4289.094969
300,4231,4340.581714
211,2069,4394.033926
300,4263,4446.957532
252,3094,4501.647467
300,9161,4631.919527
92,2505,4674.518057
