#{"t_start": 1587229207.5132718, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5055,61.517251
300,4721,138.954525
300,5994,228.921972
300,4591,300.46669
300,3303,337.502416
300,3687,399.421678
300,5098,481.578645
300,8455,603.717604
300,12738,831.526934
300,5058,907.454741
300,5384,991.329844
300,5680,1071.291596
135,903,1082.171885
36,3963,1125.562433
300,8452,1267.886834
300,10577,1418.749025
300,6071,1520.050685
199,1718,1556.060207
300,9251,1677.255895
300,5046,1774.278944
300,3901,1843.11688
300,3757,1885.895706
300,3023,1936.827991
168,1601,1955.567786
300,4531,2051.337752
107,711,2059.989259
300,3701,2103.903373
300,3147,2153.928597
300,3517,2197.65525
300,3440,2270.292761
300,4703,2347.115833
300,2579,2380.072326
153,1232,2393.889234
300,5468,2495.364939
300,5010,2606.052973
300,3557,2679.388066
300,4807,2736.513459
300,8714,2926.830119
300,3938,2975.12738
300,5771,3067.119099
164,1323,3113.54135
300,6677,3203.552804
300,2133,3227.356614
300,9033,3386.644516
300,4780,3456.650388
300,4292,3519.285117
300,12287,3692.699789
300,3571,3737.167709
132,710,3753.869876
90,737,3761.518862
300,7291,3864.835295
300,3615,3905.497954
261,3716,3958.312779
300,8278,4096.153045
300,3931,4176.855138
300,4935,4289.639299
300,2582,4318.961637
129,1095,4334.957399
300,4936,4420.999368
167,961,4435.661353
300,6118,4525.11996
300,4712,4602.069883
300,7064,4699.712067
