#{"t_start": 1587229207.2548835, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5735,70.074329
300,5661,157.452147
300,5371,240.734447
300,4029,305.720892
300,3743,347.121093
300,3910,411.799899
156,1584,429.374614
300,6207,523.349873
300,9230,681.065025
300,9595,847.90328
300,7490,970.371036
39,4223,1021.085221
45,2745,1066.990209
300,5567,1149.015407
152,1079,1161.559253
300,5678,1253.629769
300,7845,1375.610736
300,2907,1407.193495
300,2556,1463.693571
147,1992,1487.488054
300,4266,1555.980263
297,6064,1636.350644
300,4610,1692.286435
300,3562,1772.554929
300,3331,1836.2281
300,3940,1880.65013
300,3835,1941.092984
300,7048,2066.161176
300,2665,2096.452186
219,2919,2146.390815
216,2584,2177.742787
233,2190,2237.854543
300,3933,2282.059119
300,3039,2340.503173
300,6704,2458.081537
300,3528,2501.06967
300,5670,2617.195515
300,4525,2705.768886
189,978,2715.55316
251,3047,2779.704105
300,6184,2912.568184
216,2381,2938.128018
300,4771,3023.254781
136,806,3032.629093
287,3694,3074.115275
127,793,3114.139874
300,6647,3203.890331
300,2858,3235.366473
300,4504,3341.970049
293,6855,3433.768696
300,4549,3502.993697
217,5439,3577.285046
272,2546,3605.195366
151,475,3610.507075
271,7697,3724.693643
300,6284,3802.597398
117,554,3808.747576
300,3288,3868.212138
260,3310,3904.981713
226,1619,3932.325848
300,4807,3987.850655
159,845,4041.831636
300,1738,4062.00047
300,2938,4095.260464
300,3537,4170.318967
300,2956,4203.405773
285,2157,4285.725469
300,2684,4316.390408
284,2762,4381.871624
300,4961,4442.017002
300,14187,4664.663813
227,1970,4685.493259
