#{"t_start": 1587229207.292071, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,6636,98.461896
300,5195,162.398989
300,4176,232.430634
300,4885,306.558041
300,6028,394.678035
300,5148,477.281283
300,5485,567.131916
119,761,575.154444
300,6682,675.676762
300,6184,803.934507
219,2392,831.100009
300,5628,913.283172
300,8141,1027.171459
300,8472,1157.725272
300,4776,1214.762028
140,999,1251.246171
300,8087,1375.418728
300,5803,1468.747548
300,7243,1569.906196
208,1906,1591.555958
300,6253,1679.109361
162,830,1688.843623
103,866,1733.760214
300,4310,1786.950046
149,1116,1799.213649
300,3228,1860.967399
300,4666,1931.210962
300,4550,1981.884404
300,3581,2068.110119
300,3718,2128.131529
187,1484,2143.770825
97,538,2149.780823
300,2987,2187.789479
300,3555,2261.369919
101,733,2270.20041
300,2929,2306.492811
261,2634,2357.124402
300,2213,2385.980316
300,5100,2481.308644
223,2628,2562.143947
300,4506,2617.322088
300,3324,2689.740324
300,4015,2736.3758
300,3225,2803.926014
300,3758,2907.870347
300,6298,3009.80667
228,2088,3032.904131
139,1033,3044.388033
179,1541,3061.569632
300,6824,3170.386421
300,4259,3232.655324
300,8399,3383.88042
153,3136,3431.09727
300,3450,3474.625087
228,1564,3507.157472
300,3267,3549.023334
156,837,3557.858297
178,2753,3597.084227
300,9796,3734.40542
87,400,3738.051126
111,722,3754.824088
300,5258,3813.306765
96,676,3820.527042
215,2698,3873.451731
300,2449,3900.165827
110,640,3908.313728
300,5927,3984.375759
127,1784,4050.164503
300,5542,4149.103533
59,294,4151.812984
300,3393,4189.780593
300,3237,4284.046018
191,2744,4314.15094
300,2229,4344.511332
300,3987,4419.626315
279,4244,4491.517751
272,7138,4595.967848
280,2068,4618.880126
