#{"t_start": 1587229207.0190377, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5599,67.977369
300,4434,141.743718
300,6135,234.133185
300,5124,311.418313
297,4025,377.37279
300,3399,415.520333
300,4725,493.115698
300,5082,578.477037
300,9246,707.754621
235,2065,730.479799
300,4363,838.139336
57,3870,901.044955
65,6801,999.98785
251,3056,1033.783312
252,3528,1090.831565
89,5365,1172.756817
300,8219,1290.401886
300,8373,1416.949878
300,3693,1487.311202
20,2021,1511.727742
23,2024,1552.691945
300,7671,1655.906942
300,4076,1739.556238
300,4960,1798.131917
300,4776,1877.083668
300,4637,1946.986952
300,2486,1974.84579
300,4774,2074.01303
300,5385,2152.562773
282,1721,2172.155937
278,2020,2198.317563
300,1653,2250.454674
300,4167,2301.091833
300,3516,2360.817947
86,685,2370.781426
300,4041,2457.253798
300,6951,2589.520949
300,3026,2624.419463
300,6246,2731.433373
266,2490,2791.188953
300,2967,2824.409065
300,4261,2932.863777
300,7344,3047.605392
189,1245,3061.032643
83,463,3066.313119
300,6791,3176.442518
202,2112,3211.998451
300,4833,3320.336125
300,7640,3422.465725
300,3543,3466.79599
300,3864,3524.53889
174,2323,3555.847642
300,5414,3623.120185
186,1446,3641.052279
300,2542,3691.69593
300,6014,3771.610699
300,3832,3814.149219
124,1151,3848.586906
300,2440,3876.262682
300,2666,3906.150432
300,2409,3943.820008
300,4684,4041.359346
300,2184,4066.70774
300,3117,4101.467802
300,6148,4206.551884
156,5458,4328.061975
169,2203,4385.518192
179,3053,4419.666475
300,7633,4529.610324
300,2733,4584.659232
300,3452,4624.617406
