#{"t_start": 1587229207.0574148, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5977,72.43923
245,4216,143.153919
300,5628,229.833293
248,3703,292.310205
300,3953,335.140175
300,3354,394.102911
300,4768,472.236674
300,5070,528.459214
300,4897,612.272402
265,3022,672.264734
120,1056,683.954695
90,7473,826.122006
242,20000,1109.072659
300,3491,1168.573377
300,7310,1276.925792
41,4830,1364.978444
25,2077,1388.140994
234,1721,1406.901669
300,11537,1585.759714
300,3165,1634.46188
300,4905,1694.213615
244,3548,1773.221927
300,4435,1849.08097
300,4372,1900.226443
151,2215,1940.996274
300,2899,1973.620939
300,2178,2043.858022
300,5279,2105.663013
258,2797,2152.180617
300,3144,2191.471763
300,2855,2256.597318
300,2587,2285.808258
300,1753,2329.999711
300,3528,2371.532413
300,3368,2449.660392
300,2401,2476.763535
300,2871,2513.320369
300,2932,2597.54122
300,3477,2670.107764
300,4279,2722.582924
300,3407,2791.611683
300,5380,2913.57387
163,2623,2942.426911
212,1922,2966.188081
120,1055,2979.998672
300,7774,3125.618666
300,4995,3197.288289
227,4028,3242.410446
300,6669,3373.944816
300,8352,3499.996655
300,6635,3587.10339
128,732,3594.648416
300,3258,3631.291523
257,2189,3679.271658
300,4616,3735.436091
187,1580,3760.990544
300,2653,3790.223769
250,1932,3812.378493
300,4402,3882.889172
300,5048,3950.242245
300,2822,3982.362629
300,3373,4064.797691
300,8239,4194.328849
263,1814,4214.00502
300,7287,4388.473201
187,1281,4403.408212
300,3777,4449.664256
143,869,4480.00431
137,679,4487.219748
300,4625,4542.691616
300,5281,4624.27527
207,1950,4662.937723
300,3211,4699.24773
