#{"t_start": 1587229207.1376414, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5925,71.894318
300,5103,153.045905
300,4716,229.055688
300,5560,311.414609
300,6082,400.114543
146,1344,415.549646
300,5868,505.466744
300,4101,579.962288
144,4624,631.231035
300,2783,689.150089
300,8803,846.61496
55,2412,891.969026
21,2022,914.720334
300,7314,1020.110605
300,4945,1092.070371
300,10488,1257.091205
29,4679,1309.380986
180,5474,1404.093981
300,5295,1492.217743
239,2934,1545.412842
225,2751,1575.695591
300,13360,1783.269049
300,3591,1849.349253
300,4013,1894.694382
246,2184,1936.700608
300,6592,2056.449635
300,4658,2126.001009
300,3075,2160.678465
300,3093,2233.3815
300,3034,2267.248299
247,1646,2285.81964
300,2346,2336.585369
300,4660,2393.242228
300,3289,2468.770049
300,4143,2566.717619
300,4355,2619.342723
300,6631,2730.899486
256,2166,2786.644191
300,2361,2813.436578
300,5192,2932.360621
300,7853,3051.667188
300,5706,3147.250345
189,1432,3162.350392
300,5253,3237.879026
300,3865,3334.413093
282,5025,3406.927725
300,3066,3444.341865
71,330,3449.972559
300,3239,3500.881344
300,3269,3541.176399
300,3143,3585.949537
249,3651,3626.042098
122,733,3633.70222
300,5005,3715.977475
300,6320,3796.371183
155,783,3805.826789
300,2622,3856.958675
300,4345,3905.408409
116,977,3923.533768
66,313,3929.015245
252,1664,3949.114209
300,3053,3983.343937
77,588,3989.779544
300,5611,4097.96
300,3120,4169.30066
295,2979,4202.592596
150,1209,4274.059711
123,1072,4287.10321
137,1077,4298.979567
236,1975,4321.050444
130,803,4333.987736
118,805,4343.603
292,1946,4394.805101
293,2788,4428.305585
300,3313,4487.886658
300,3168,4523.894427
300,5428,4608.665745
300,5261,4685.813014
