#{"t_start": 1587228635.3411372, "env_id": "DronePathComplex-v0"}
r,l,t
85,985,12.850461
33,890,24.396059
53,956,38.309376
43,865,48.247078
22,394,51.694602
21,743,60.56601
42,511,66.246842
24,487,71.571865
88,501,101.40157
26,608,107.836507
22,548,113.733892
22,466,118.839971
32,482,124.739401
28,646,133.990077
46,1756,155.3587
120,2126,193.630213
134,1082,205.351151
75,1238,218.376109
82,1783,243.276682
74,1966,277.275418
110,1601,294.620234
298,3174,334.148477
300,2772,375.32906
210,1800,395.587123
260,2305,420.420519
300,1909,457.655597
300,2457,484.907804
300,1976,507.098562
300,2137,544.468946
300,1687,562.181031
300,1930,583.151858
300,2465,618.945524
300,2573,650.143324
236,1697,668.074794
123,728,685.743673
300,2561,717.690322
300,1804,736.406446
300,2132,768.95746
300,1884,789.638946
300,2381,817.469373
127,895,828.977263
117,799,848.231199
300,2193,871.610423
300,2480,898.643895
152,1109,910.442345
300,1735,940.563347
224,1680,958.388821
167,1351,973.476884
263,1666,991.428593
135,842,1011.18199
300,2553,1043.699291
214,2201,1068.394269
300,2329,1102.418113
202,2458,1133.899944
136,1825,1154.287913
81,803,1168.925779
134,1174,1182.199825
81,969,1191.556777
174,1636,1210.777492
88,961,1223.755666
300,2871,1262.753702
104,1209,1275.47655
81,991,1286.414121
300,3710,1341.679637
91,862,1350.294313
300,3916,1392.888849
276,2900,1433.671022
300,2136,1461.471981
171,1392,1485.528015
300,2262,1509.896622
300,2951,1543.11216
300,2489,1580.721212
205,2534,1608.468207
202,2012,1629.502127
104,747,1648.967819
233,2798,1678.439699
229,3283,1721.066933
260,2949,1757.478491
129,2160,1780.594316
287,3470,1835.368766
78,673,1842.417599
300,2362,1867.578729
126,1161,1887.750732
115,1158,1904.359412
189,2470,1931.914861
120,1209,1944.52345
108,1177,1966.693167
83,892,1976.55261
86,870,1986.221237
267,2944,2018.44807
84,837,2028.664666
40,405,2044.876371
110,1517,2061.524405
163,1675,2080.350736
74,1015,2095.089337
92,898,2105.321413
81,800,2114.504201
32,421,2124.471827
72,872,2134.245574
77,774,2143.099792
300,3334,2178.901011
136,2010,2205.6356
96,1181,2220.394429
62,321,2225.976626
26,435,2231.814793
62,811,2239.9961
100,1823,2260.139819
204,1616,2280.968918
57,763,2289.861484
25,461,2294.985687
36,593,2301.337576
28,416,2306.837218
20,497,2314.251371
60,940,2325.689488
22,362,2329.939481
50,914,2340.251137
52,384,2349.042896
23,412,2352.675172
51,755,2361.654624
59,799,2369.875331
99,1436,2388.597673
74,1466,2406.670853
27,238,2409.856516
23,516,2415.48437
31,426,2419.183648
138,1921,2447.215116
40,625,2453.757318
44,414,2458.541298
63,752,2468.183454
58,781,2478.983673
89,742,2488.577462
78,1107,2500.392637
31,412,2512.799121
77,839,2521.32106
106,1160,2534.904214
45,405,2538.490774
80,903,2548.662766
74,376,2553.056541
62,944,2566.596109
63,867,2576.935274
68,723,2593.008238
54,735,2600.554385
90,1581,2617.834076
57,876,2627.715951
70,595,2634.0635
137,1879,2655.159457
78,328,2661.080719
76,692,2670.674797
36,534,2678.631695
38,389,2684.135487
51,815,2692.349887
46,543,2698.210253
89,458,2703.302494
82,866,2713.170596
76,936,2723.542425
114,1066,2739.729333
73,1186,2757.009859
74,1147,2769.1248
82,467,2774.305401
101,968,2784.92002
145,1305,2799.555122
152,2533,2831.808541
220,1715,2850.180632
144,1637,2872.222102
77,1140,2884.442288
64,898,2904.045349
105,1348,2919.331648
117,1330,2933.273151
78,1217,2951.197045
101,435,2956.773654
149,1260,2970.124449
52,546,2981.082319
93,804,2990.435497
27,211,2992.362435
54,924,3002.73278
29,440,3007.767607
86,1303,3021.432085
57,599,3027.806547
47,435,3032.707632
83,1158,3051.610954
48,480,3056.980528
73,471,3061.363997
45,524,3069.207249
86,435,3076.032936
