#{"t_start": 1587228635.5065384, "env_id": "DronePathComplex-v0"}
r,l,t
24,565,8.902523
34,706,16.317588
35,570,23.8424
68,1103,39.175371
21,950,49.807307
48,954,60.540677
29,1484,101.249849
26,490,106.635847
27,649,113.41726
24,511,118.930806
23,420,124.160553
26,631,133.230539
54,953,145.399195
43,801,154.758541
78,992,165.535441
64,1766,199.692276
84,1984,221.49034
60,874,234.023377
67,1102,248.060429
300,3153,294.67242
300,4424,358.772556
300,2687,388.995565
300,2478,416.437409
300,2553,460.460531
300,2146,483.800554
300,2378,510.309964
300,2067,546.227552
300,2006,567.720679
300,2043,589.821095
203,1463,614.132006
300,2056,640.495034
90,458,645.423604
300,2279,670.527498
300,2668,712.691095
162,1143,724.60877
300,2119,747.47608
300,2481,783.973564
249,2176,807.033807
95,539,813.381433
84,403,819.790458
300,2773,861.426483
114,767,870.315784
300,2156,893.425692
177,1224,907.364563
272,2827,948.073322
233,2366,974.10075
189,1895,1005.300943
256,2449,1036.990726
184,1897,1057.98787
289,3004,1099.966418
132,1367,1115.298609
237,1793,1138.714392
134,1324,1153.633363
166,1434,1174.817883
91,709,1183.004431
200,2376,1207.948716
93,1020,1222.888698
244,2304,1256.027161
76,837,1265.574163
180,1805,1284.614383
80,747,1292.215046
161,2199,1330.890376
300,3041,1364.103591
221,1835,1383.230356
129,1999,1413.975378
300,2456,1441.966113
300,1617,1462.915983
300,2145,1494.815082
182,1691,1514.06188
300,2951,1547.084073
173,2086,1579.118127
136,1333,1594.114518
117,1015,1605.215193
189,1205,1618.025681
188,1862,1649.568357
265,2716,1678.327111
72,660,1686.189982
100,1237,1699.07573
300,1825,1725.858029
300,2167,1753.299155
300,3021,1786.058913
188,2565,1830.730627
154,2026,1853.019615
70,395,1857.569894
152,1506,1879.593137
279,1678,1902.684693
127,1701,1921.521212
122,1739,1940.142607
253,3068,1982.892923
98,1132,1995.994741
89,747,2003.572725
177,1640,2021.196786
79,824,2043.990797
155,1974,2065.754812
95,1281,2079.943844
69,896,2093.657534
68,801,2103.056173
132,1010,2114.098629
98,420,2124.056107
144,1209,2137.83134
212,2115,2160.616648
107,597,2166.931108
258,2491,2199.053093
100,1917,2223.563072
103,935,2234.315191
63,922,2244.597226
79,544,2250.399902
157,2036,2275.902375
147,1155,2289.27969
73,467,2293.373645
40,359,2297.635512
23,429,2302.554456
50,773,2314.247138
30,466,2319.651707
45,915,2330.5912
34,374,2334.993751
54,736,2342.603753
65,477,2352.249316
38,401,2356.893337
52,880,2367.017805
60,940,2377.523273
42,421,2384.016992
31,444,2389.219299
21,535,2396.551535
51,433,2401.515226
79,1789,2428.456663
75,832,2436.886742
139,2635,2467.232935
35,463,2472.541987
72,697,2483.513759
74,564,2489.570115
31,519,2495.199822
55,795,2510.868902
100,1146,2524.349642
40,568,2530.434265
38,462,2535.685588
76,722,2543.204317
54,840,2552.736347
61,1117,2568.241987
74,730,2576.944523
91,2607,2612.944919
67,753,2621.776081
69,397,2626.349597
21,270,2628.660022
26,203,2631.559787
72,543,2637.511968
74,558,2643.588251
126,1122,2655.726417
71,730,2666.378434
78,740,2678.448381
39,436,2684.37318
130,1276,2697.73076
191,2671,2726.650375
