#{"t_start": 1587228635.549868, "env_id": "DronePathComplex-v0"}
r,l,t
25,443,6.423593
36,936,17.237692
57,300,21.847796
44,1472,42.091836
32,1061,53.703398
34,466,58.98072
28,957,69.706721
29,576,75.81243
28,761,107.915299
21,434,112.794418
64,691,119.878388
25,351,124.693249
41,630,133.727059
58,1103,147.118506
73,1341,162.163867
19,511,167.686503
45,1279,196.438672
21,986,207.338898
111,1986,230.816937
300,4121,291.286417
147,1183,305.069859
71,1034,319.512563
300,2958,364.077806
300,2315,390.045877
300,2503,417.750002
282,2269,458.092561
300,2114,481.176913
110,890,491.226075
300,2478,533.477147
300,2114,555.812126
211,1542,572.216667
300,2166,603.861423
300,2061,629.499784
300,2262,655.129569
300,2144,687.164881
300,2811,722.375038
129,894,731.070179
300,2123,763.479134
228,1758,783.227167
300,2110,805.689791
300,2690,849.089795
297,2028,871.04047
205,1849,891.460246
300,2940,934.267776
137,943,943.558745
171,1051,954.824958
300,1984,976.524575
256,1503,1004.292113
180,1185,1020.965985
86,793,1030.784535
155,1405,1046.35802
190,1608,1063.640327
136,1646,1090.561982
205,1511,1107.156279
156,1262,1125.502056
300,2970,1163.952231
300,3432,1201.088438
126,1254,1217.941184
71,814,1228.396868
149,2343,1260.897294
90,1145,1273.083144
95,999,1284.015617
300,3194,1332.480907
141,1518,1349.142493
53,436,1354.044222
112,1134,1366.129412
138,1362,1381.086214
134,1486,1406.438301
300,2225,1429.97845
76,395,1434.470089
107,594,1441.977431
300,1847,1465.987468
222,1322,1488.445477
300,2766,1519.394242
100,588,1525.733234
82,746,1533.389519
127,1087,1546.554132
83,843,1565.732329
300,2843,1597.168793
268,1733,1615.697047
176,1305,1629.461575
105,575,1647.320213
83,584,1653.522727
300,2329,1677.84958
77,948,1688.249076
300,2516,1722.045886
300,2788,1755.945809
142,1557,1773.827079
65,422,1777.50059
89,1024,1800.42021
74,817,1813.222875
159,1394,1830.173515
125,1299,1843.852288
227,2861,1882.23302
83,505,1887.807382
90,998,1902.652617
80,555,1909.086978
79,850,1917.751323
182,1739,1937.507648
186,2377,1973.227138
217,2982,2004.559732
113,1276,2019.014407
128,1761,2051.074346
123,1917,2072.324108
246,2042,2099.151911
72,792,2108.432223
127,2648,2143.182902
151,1140,2155.252623
