#{"t_start": 1587228635.7538161, "env_id": "DronePathComplex-v0"}
r,l,t
55,412,5.935994
26,598,12.663031
19,515,18.327025
23,936,32.501307
74,1014,44.730239
38,557,50.763859
26,390,55.362881
25,392,59.98449
25,425,64.930146
47,736,72.448294
32,497,102.240111
26,420,107.008955
38,574,113.121063
109,630,119.657306
28,457,125.711884
132,4704,195.758624
85,1378,211.211276
255,3223,250.898508
152,1548,280.093701
300,4364,333.396671
300,3371,382.102986
300,2598,410.579741
300,1846,446.149697
300,1906,467.362356
238,1681,485.562186
300,2590,528.877077
300,2283,553.773775
82,556,559.63222
300,2067,581.750381
300,2200,613.579985
300,2338,643.412689
300,2031,665.28912
121,781,682.307458
300,1869,707.266403
300,3040,739.971063
265,2296,773.902004
300,1923,794.732053
93,554,800.605349
300,2250,828.999177
300,2518,866.372123
104,1163,879.790876
300,2761,909.264132
300,2938,951.982749
300,2917,984.108254
130,1599,1013.554462
221,2248,1041.456409
143,1828,1061.764858
156,1465,1086.014507
79,902,1096.055995
300,1728,1117.632452
249,2508,1146.380687
78,1123,1166.124667
196,2747,1195.065294
114,1107,1206.982718
76,865,1219.861528
70,772,1229.399477
300,1816,1256.184433
103,1037,1267.480677
190,1650,1285.195943
76,844,1294.757554
156,1588,1324.601925
219,2097,1348.674812
300,2912,1380.45288
300,2679,1418.205616
300,4064,1467.039181
300,1706,1494.029527
300,2492,1521.445984
177,1979,1544.272716
104,852,1563.997027
88,558,1570.000485
300,3856,1611.356377
271,2351,1648.312995
70,639,1654.917967
300,2286,1679.992598
300,2376,1704.867028
211,1515,1727.875808
300,2551,1759.748939
140,1370,1774.921144
300,3570,1830.51403
118,788,1838.547184
232,2364,1864.864208
148,995,1882.443367
141,1477,1902.696586
72,771,1910.996775
76,738,1919.760137
145,1460,1935.94688
92,446,1939.854385
74,707,1948.046207
300,2992,1990.252476
85,886,1999.051558
224,2986,2045.09841
79,842,2054.71712
168,1391,2070.237721
110,1075,2083.827973
45,494,2091.232505
75,795,2099.900728
171,1857,2126.904484
62,792,2134.876494
162,1527,2151.392033
44,481,2156.655334
178,1431,2172.56146
196,1813,2197.572467
110,1678,2217.169286
29,211,2219.554183
59,843,2231.834555
43,448,2236.85358
45,715,2244.177757
69,430,2249.021165
81,816,2258.165389
107,998,2272.528346
42,570,2278.596212
62,785,2286.599187
27,419,2291.356319
34,427,2296.193811
54,739,2303.845879
79,1050,2319.230909
33,396,2324.596579
22,428,2329.418693
30,389,2333.949899
71,910,2348.531653
56,798,2356.703053
55,1397,2372.474929
92,1013,2385.79989
45,433,2392.649541
60,802,2401.226812
46,929,2411.70257
83,971,2429.176374
122,1108,2441.073907
122,2344,2468.047196
45,416,2474.562942
148,1082,2488.152704
39,438,2491.968453
170,1888,2520.617616
105,1141,2532.932678
43,524,2538.70756
75,1123,2551.846545
68,812,2561.770089
26,204,2565.992562
20,584,2573.871214
38,202,2575.639851
74,893,2593.224147
94,412,2597.963453
73,331,2600.854931
117,913,2611.158279
24,260,2614.549186
34,221,2616.478374
36,540,2622.334875
45,383,2626.788396
23,275,2629.14023
26,240,2632.408185
70,736,2639.990911
109,1359,2655.410958
74,789,2666.721577
67,1180,2684.647246
137,1288,2698.093333
79,686,2706.29627
65,727,2713.809194
138,1322,2728.770768
46,904,2743.132349
77,834,2756.509583
68,743,2765.189333
95,1200,2777.830756
32,257,2780.063636
137,1556,2796.821683
67,835,2806.423488
45,582,2817.068809
91,714,2825.626776
24,195,2827.303527
95,925,2837.563262
72,453,2842.660881
86,708,2850.012932
23,259,2853.411713
102,1069,2868.625095
77,792,2877.326808
92,1268,2901.294131
79,784,2909.393456
186,2308,2935.405194
149,2127,2963.124631
122,900,2978.18345
32,214,2980.102161
74,776,2989.197627
28,232,2991.302303
139,968,3002.070449
61,892,3012.212801
111,899,3021.214276
77,973,3031.953262
109,1207,3051.30777
153,888,3060.313276
51,828,3073.532022
87,892,3084.173562
79,388,3087.598665
68,960,3098.35171
55,849,3108.198215
73,756,3116.043877
149,1425,3137.668635
