#{"t_start": 1587228635.421902, "env_id": "DronePathComplex-v0"}
r,l,t
125,845,11.522776
23,613,18.051272
40,320,23.16344
21,534,31.126338
40,775,41.642844
21,1626,59.416757
22,363,62.650283
38,549,68.601534
27,447,73.60964
24,455,103.046673
36,570,109.130358
25,530,114.859778
25,493,120.221276
59,1194,138.387264
76,560,144.443993
34,545,150.523879
28,790,158.449345
50,829,167.863759
78,1405,198.868532
154,2351,223.93244
24,521,231.313819
64,555,239.552965
109,1839,260.800311
74,1058,284.726623
61,1189,297.339698
300,2653,332.319005
300,2702,372.90107
158,916,383.186828
300,2787,413.34459
300,2180,452.909956
300,2187,477.777392
156,1212,490.677126
281,2341,531.789388
300,2231,555.115857
136,897,564.979559
300,1882,584.491143
300,2609,622.409754
300,2355,650.833738
300,2190,683.334261
226,1807,707.757029
181,1158,719.766238
300,2370,745.865678
252,1470,771.436156
165,858,780.007288
300,2225,804.540187
300,2501,836.161192
300,2565,874.039232
300,2424,899.477381
298,1656,927.530508
300,2430,954.31526
222,1275,968.686641
186,1352,982.834993
300,2508,1025.608837
281,2212,1051.106051
88,756,1058.804707
147,1162,1071.020032
300,1999,1102.193965
180,1713,1125.713733
89,535,1131.838729
88,844,1140.277748
300,3351,1183.589657
259,2694,1213.700808
121,1719,1235.502315
142,1365,1257.30473
266,2407,1283.831971
263,3273,1333.01141
300,2842,1364.454853
300,1764,1382.957926
102,613,1389.28633
300,2151,1422.578193
116,1669,1441.324597
221,2385,1471.280843
211,2219,1503.974858
145,872,1513.79495
81,793,1521.887199
300,2109,1546.173755
300,3019,1588.777381
92,1115,1600.740595
86,451,1605.851347
107,871,1615.744437
169,1308,1629.525846
121,1824,1660.369553
180,2470,1687.087791
216,2744,1722.878457
221,2007,1748.942727
75,893,1758.871836
300,2718,1799.745248
140,1913,1825.765548
139,1293,1839.365546
139,1028,1850.628346
300,2508,1884.832716
73,912,1897.434016
228,3300,1936.248189
218,2404,1971.179616
105,1004,1981.987033
100,1022,1993.048195
76,990,2003.846389
106,1524,2020.459076
191,1848,2054.433608
128,1737,2072.988303
171,1721,2095.84408
221,1743,2121.942924
235,3284,2157.028576
142,1655,2175.997209
131,1624,2198.259781
28,457,2203.342628
154,1314,2218.99545
43,419,2225.681065
80,892,2236.653274
60,806,2244.803174
87,1230,2258.639193
47,961,2272.667665
59,903,2281.675187
38,405,2286.32186
59,753,2295.101618
27,372,2298.3949
31,459,2303.56933
23,458,2310.239338
77,314,2315.62144
64,1198,2329.995017
37,378,2334.426773
32,476,2339.761787
98,1580,2361.426407
79,1038,2372.856649
39,628,2379.9641
35,445,2386.882544
114,860,2398.844285
61,745,2406.572731
68,1021,2417.7379
32,1049,2435.893171
115,627,2442.47454
62,514,2448.113225
33,625,2455.770774
19,227,2457.786042
127,1318,2475.456109
80,1305,2490.825543
83,1438,2514.382327
35,458,2519.544389
148,1738,2538.236828
181,3194,2577.605768
150,1146,2598.505936
78,1100,2610.450467
68,701,2617.687722
35,484,2623.058594
79,885,2633.015821
70,1253,2646.332012
144,1397,2665.080757
49,1331,2684.512151
172,1222,2697.380709
126,958,2707.989795
75,884,2717.926242
70,855,2726.51927
76,803,2740.478227
81,426,2747.262888
41,293,2750.701039
67,799,2761.664313
152,1690,2779.671451
92,965,2790.167413
43,501,2795.628791
72,403,2800.284057
72,1226,2817.74486
100,1227,2831.838969
179,2246,2856.018441
300,1724,2878.698425
266,1878,2909.238069
71,665,2916.241286
87,487,2921.615861
42,274,2925.156533
113,955,2935.921121
28,198,2937.7465
42,302,2943.09144
272,1780,2964.929799
78,894,2979.985788
83,1190,2992.853841
122,969,3003.630077
36,483,3009.01154
113,1180,3021.622965
71,841,3031.241881
130,1364,3051.943843
68,981,3064.008707
25,243,3066.770419
52,411,3073.318567
82,779,3081.926361
108,1608,3100.692936
100,1112,3112.861953
122,1252,3131.852847
86,523,3137.596037
82,799,3146.772426
104,857,3157.925924
210,1683,3179.154109
110,1144,3191.38177
216,925,3201.737762
54,517,3212.911627
24,191,3214.634934
80,421,3219.485549
25,206,3221.301413
41,270,3224.805007
78,1011,3235.916019
49,302,3238.595386
81,907,3248.794044
105,931,3261.564738
112,652,3270.643073
146,1078,3288.448065
98,605,3295.863337
151,1045,3307.078412
73,580,3313.185184
117,1116,3325.306625
215,1761,3345.281789
190,2160,3380.855078
30,234,3382.962394
105,843,3392.66111
55,523,3398.447241
30,209,3400.319602
300,2093,3423.472768
166,1462,3451.897324
76,548,3458.216721
183,1411,3474.033896
143,815,3482.192568
83,616,3489.895664
75,859,3498.54383
28,193,3501.396638
131,965,3512.001603
37,222,3513.946422
41,500,3523.895769
242,1816,3548.724948
36,457,3552.765881
27,179,3555.4647
101,946,3566.011142
79,828,3574.441173
158,1088,3586.259008
29,171,3588.875891
52,334,3591.832921
26,186,3594.566172
94,967,3609.709117
123,959,3620.5184
85,1292,3634.109346
188,1470,3653.065077
117,916,3665.282399
56,583,3671.487174
87,996,3685.852463
188,1047,3697.330195
236,1825,3716.752845
29,278,3720.397569
219,1741,3740.522114
23,182,3744.52284
25,194,3746.735836
137,1235,3763.192416
146,1069,3775.985679
89,969,3785.611211
55,767,3794.523846
26,192,3796.21159
45,314,3800.086308
115,781,3808.105618
154,1131,3832.220584
78,936,3842.737096
87,580,3848.858953
29,202,3850.652506
60,293,3854.321995
79,864,3863.057393
59,205,3865.994763
68,544,3871.963889
62,371,3876.300672
66,391,3879.684227
300,2623,3915.750949
124,1468,3933.422242
44,384,3937.892086
56,354,3942.081759
92,684,3949.181929
289,2333,3975.165193
77,779,3986.726623
93,1021,3997.891539
39,422,4002.770655
86,775,4013.016057
29,198,4017.085265
26,205,4019.413747
74,1269,4034.505003
251,1807,4058.623552
27,184,4061.35594
76,1026,4072.612212
300,1924,4092.90746
27,178,4095.650904
29,200,4097.404135
113,1032,4113.007544
26,185,4115.076348
42,580,4122.399566
23,197,4124.113918
29,188,4125.770071
245,1797,4149.698215
31,187,4151.355972
75,333,4155.365839
113,854,4165.131605
147,1192,4177.812935
51,785,4185.787291
93,398,4190.453497
217,1786,4216.800454
35,240,4219.597392
28,198,4223.587351
83,501,4229.127013
77,203,4230.943627
65,469,4236.175975
31,220,4238.112312
27,195,4240.981485
135,1228,4253.895538
54,448,4258.9098
29,198,4260.661652
148,807,4270.134749
39,296,4272.848328
172,806,4287.200493
29,191,4289.389206
54,595,4298.845398
28,195,4300.544246
170,1468,4316.599208
88,966,4327.378447
98,1139,4339.649671
166,1829,4363.881863
96,760,4372.8639
148,1408,4388.62547
31,195,4390.304788
57,681,4397.461063
86,818,4408.618552
39,178,4410.672471
104,788,4422.01893
161,1956,4448.456925
26,182,4450.084536
85,1419,4465.766018
146,2376,4493.306205
35,478,4498.844871
139,2183,4528.243546
68,900,4537.191804
154,1788,4557.062488
192,2401,4585.683532
82,458,4590.830444
114,1297,4608.016043
31,257,4612.601151
103,833,4620.991343
31,221,4624.028584
108,463,4629.233044
141,1964,4649.71459
68,852,4663.942169
113,1070,4675.531374
110,1297,4692.889412
46,266,4695.973719
162,1321,4712.152067
71,594,4718.467036
71,397,4723.001775
186,1978,4751.345811
87,869,4759.984789
101,906,4769.96629
150,2401,4800.20935
197,1830,4824.923721
213,1680,4844.267765
79,435,4848.152704
210,1940,4869.884026
221,1671,4893.478418
163,1059,4909.343121
289,3250,4944.770278
89,579,4950.960263
257,2075,4977.745215
136,1334,4992.722181
82,947,5006.745019
76,834,5015.938684
300,1923,5037.421464
71,909,5052.944235
120,1202,5065.593317
122,1068,5077.113767
95,879,5086.963956
167,1476,5105.968682
171,1987,5134.916134
118,1253,5148.186634
100,973,5158.930818
208,1604,5176.565223
300,1664,5204.639723
300,2939,5238.363252
284,2265,5262.528228
112,875,5272.362427
