#{"t_start": 1587228635.7950654, "env_id": "DronePathComplex-v0"}
r,l,t
44,777,10.537448
32,550,16.540263
60,1625,38.970881
39,1346,54.245838
24,496,59.763816
29,1140,72.0504
27,442,101.361867
22,2076,124.503517
93,626,133.493588
25,463,140.064833
29,463,145.28166
66,1879,166.147015
130,2722,210.904182
62,775,219.863767
184,3408,273.538609
195,1625,291.122359
275,3532,334.892436
300,3339,383.343968
300,2455,410.548682
300,2012,448.689776
300,2807,478.992305
300,2339,505.294706
164,1060,531.623256
300,2393,556.313345
300,2167,580.362656
300,2687,618.034302
208,1227,634.667727
300,2431,660.893327
300,2222,695.911964
300,2139,720.735614
262,2042,742.879219
112,527,748.642855
300,1826,778.367987
300,2008,799.926061
242,1427,817.575835
300,1775,848.888454
300,2523,876.294006
54,324,880.152843
300,1615,897.45672
300,3434,945.617361
214,2321,970.144737
263,3768,1028.016259
300,2557,1055.867221
125,926,1064.979535
162,1895,1095.176991
81,850,1104.916353
278,3086,1142.851841
76,751,1150.563352
232,2072,1179.387251
257,2411,1205.723748
155,1240,1222.534575
109,998,1234.40848
82,798,1250.132806
167,1586,1267.35402
90,1146,1279.453969
231,2097,1302.336457
241,2915,1348.365916
300,2330,1374.069599
187,1698,1391.950886
300,2399,1427.338902
300,2378,1457.190081
300,2481,1493.055672
286,2389,1519.572779
300,3391,1567.051011
285,1911,1588.013654
144,1443,1604.017011
76,873,1613.908157
215,1816,1643.399389
74,784,1652.924573
187,1594,1669.854004
79,909,1679.873968
180,1405,1694.251804
80,788,1703.187329
300,3330,1749.51002
300,2788,1780.245215
272,3274,1832.185699
86,717,1840.736929
300,3699,1887.62863
271,1895,1913.063994
148,1535,1928.942078
163,1102,1941.767096
214,2105,1974.078013
183,1238,1986.936014
139,1674,2004.793129
87,731,2013.392174
100,797,2021.442552
93,631,2032.217205
94,523,2048.181696
118,471,2053.430969
68,748,2061.14088
68,783,2070.215813
105,715,2077.824431
78,968,2092.459321
75,765,2100.641317
124,1573,2124.040402
143,1681,2142.986882
206,1912,2162.966988
188,2030,2185.153232
52,432,2194.76277
60,572,2200.888866
37,463,2206.088845
36,434,2211.063208
127,1096,2227.048996
139,898,2237.640626
98,1035,2248.842316
98,1045,2260.021699
33,456,2265.015449
25,458,2273.632296
62,733,2281.131383
108,1182,2294.783998
22,434,2298.631233
26,463,2303.830737
32,480,2310.918657
28,338,2316.584707
61,911,2328.132299
88,972,2338.91846
21,493,2348.708622
66,362,2351.887451
68,1180,2365.773552
58,1076,2377.481387
63,808,2388.569467
34,452,2395.259512
174,1356,2410.633935
74,848,2419.146922
26,507,2431.439935
60,810,2440.778717
29,473,2446.012372
57,795,2455.179314
66,541,2461.047946
114,1873,2485.341785
69,573,2491.448897
131,1776,2519.10404
67,775,2527.060315
133,1522,2543.90935
76,466,2549.050416
57,296,2552.75599
67,589,2560.381299
89,1116,2575.688736
70,373,2580.162248
116,1685,2605.752049
65,728,2614.37147
23,240,2616.482317
38,484,2621.846157
82,1338,2636.929228
21,606,2643.432255
65,691,2650.568423
163,1982,2679.281853
31,351,2684.203228
249,3352,2720.143877
85,679,2728.378464
74,739,2740.733942
77,777,2753.3538
74,813,2762.409801
133,1026,2773.488916
186,1672,2791.244872
84,761,2800.158714
60,503,2805.700496
79,1174,2822.722561
106,1973,2844.354614
30,228,2846.389503
37,383,2850.896955
187,1555,2872.210183
100,1267,2886.686579
61,410,2900.778172
143,1549,2917.881147
93,930,2927.130291
75,520,2932.910817
222,2074,2960.180809
87,806,2969.462107
60,420,2979.267689
94,720,2986.8079
55,612,2993.397547
176,1031,3004.707624
53,408,3009.455055
99,1591,3026.757322
101,664,3034.781598
148,1697,3058.484928
96,517,3065.844484
72,441,3072.706541
60,849,3082.014495
34,420,3086.879398
60,775,3095.989078
54,881,3106.091995
67,1135,3118.457105
85,376,3121.781137
87,855,3137.19849
58,413,3141.933461
87,831,3152.743163
28,247,3155.555789
113,949,3168.650958
69,455,3173.708852
115,1124,3185.824216
193,2217,3215.345639
110,1161,3228.929067
79,454,3232.920518
105,568,3240.167572
97,500,3245.671658
92,447,3249.60621
138,1653,3273.20553
27,198,3274.947741
46,285,3278.479133
81,928,3293.811297
167,1456,3309.621901
85,762,3318.631055
285,1563,3335.704508
64,376,3340.139103
110,1177,3356.985991
29,220,3366.630372
