#{"t_start": 1587228635.8769836, "env_id": "DronePathComplex-v0"}
r,l,t
25,689,9.649266
34,493,15.16522
91,588,22.60586
45,296,27.849968
31,1137,42.237843
24,316,45.002049
49,874,54.986559
39,678,62.144154
24,560,68.218889
25,512,73.775968
35,732,106.72905
33,694,113.896052
32,550,119.751523
18,994,133.824509
66,1235,149.432525
75,1648,167.035743
67,2161,205.791543
24,682,212.869565
121,1526,231.448488
85,933,244.77931
95,1988,278.935669
300,3699,323.410499
283,2759,366.335067
300,2456,393.505638
300,2595,422.874083
300,2124,461.135753
300,2248,485.386097
300,2386,526.963795
300,1805,545.580062
300,1868,565.912677
179,1390,581.169008
300,2019,611.424222
300,1758,634.24549
300,2431,660.477863
300,1983,692.683999
118,704,702.416986
300,2335,728.260265
300,2046,750.567439
300,2538,787.452936
188,1540,803.942626
291,2223,832.064136
156,1008,853.134844
300,2397,879.379604
147,965,889.880895
124,779,897.836978
300,3069,941.711847
300,3266,976.741214
227,2764,1022.203697
117,1001,1034.535511
97,1030,1045.739132
300,3373,1091.033068
300,2061,1114.425722
300,3577,1156.834728
300,3316,1199.558836
108,1065,1212.08102
173,1877,1236.679863
96,411,1246.776304
159,1259,1261.151068
205,2759,1290.738214
167,1891,1324.315847
192,1192,1338.346881
103,826,1347.744182
252,1927,1368.940471
103,1067,1380.235796
81,1071,1391.644988
274,2531,1428.196884
292,3088,1466.373938
249,2507,1502.659355
74,965,1513.274846
300,3159,1550.438368
97,914,1568.976774
217,1297,1582.354862
82,840,1591.923212
156,1438,1607.886313
85,1043,1619.263208
116,1264,1642.639341
231,2154,1666.252482
134,1283,1680.576093
149,1674,1698.288109
300,3610,1748.116341
295,2479,1775.089633
182,2399,1818.111606
181,2225,1842.203975
247,2532,1870.008292
232,2068,1903.288138
82,800,1911.702905
170,2399,1938.412656
151,1229,1962.066661
219,1981,1982.387761
90,426,1987.179409
131,748,1995.870474
115,1759,2014.527014
89,909,2025.949399
95,1261,2051.247062
72,1030,2062.543637
39,462,2067.702434
96,1118,2080.699846
84,793,2093.247208
87,1473,2109.716788
81,1324,2129.699475
136,1589,2147.800702
73,1165,2160.180987
72,848,2169.854919
149,1340,2183.761379
134,1058,2199.994529
88,794,2209.212959
64,782,2219.177058
100,738,2230.604053
39,429,2235.423382
25,494,2240.836594
102,781,2248.743376
86,1435,2264.327847
55,680,2274.914425
72,817,2284.253694
64,837,2292.661
64,782,2301.767786
107,1161,2317.887576
33,396,2323.544517
32,415,2328.25145
67,806,2336.432847
33,357,2340.737649
67,874,2354.987597
29,445,2360.08818
30,415,2363.7705
83,802,2373.093805
55,846,2384.697601
44,907,2396.350523
128,930,2406.876364
20,503,2412.395046
52,868,2428.950029
27,402,2433.545277
58,818,2441.821506
74,454,2446.930425
82,1076,2458.586574
39,399,2463.179647
165,2135,2490.836453
81,1277,2512.997378
66,864,2521.725049
75,771,2530.724255
42,428,2535.673701
100,1324,2549.544198
116,1226,2566.859115
61,780,2576.221244
43,474,2588.938725
59,784,2598.124775
73,312,2600.846475
43,445,2605.929049
28,503,2611.453853
61,825,2620.902155
127,1487,2637.305999
67,815,2645.622187
68,1027,2656.923065
115,1052,2673.638117
95,784,2684.998013
23,226,2686.962096
73,842,2696.50574
46,908,2706.677758
115,1253,2719.852081
87,876,2729.869545
117,1326,2753.080863
57,324,2756.834576
223,1875,2777.529198
101,1315,2791.046232
48,353,2795.258277
28,218,2797.159597
79,1242,2815.896871
151,1009,2826.984331
95,899,2836.998174
153,2145,2862.201107
78,444,2869.106069
84,1174,2882.171123
122,1319,2906.676334
99,1107,2918.647958
100,1157,2931.067345
24,199,2932.840676
37,586,2941.753263
64,351,2945.75518
69,529,2953.519761
73,1176,2967.27733
138,1643,2990.191346
96,712,2997.634752
74,1269,3012.221623
95,614,3018.676056
54,434,3023.648781
74,340,3026.59738
117,1012,3037.680842
60,288,3041.30017
135,1234,3059.836363
74,768,3072.342166
73,483,3078.541188
140,1628,3096.293329
84,902,3106.603406
83,380,3109.951989
29,231,3113.149203
79,337,3117.24508
112,443,3121.188817
146,1316,3141.767117
95,1333,3160.132897
49,440,3165.17058
80,821,3174.542084
35,256,3177.936463
236,1328,3191.780064
73,733,3200.447382
81,715,3213.384975
141,1081,3225.207379
300,2087,3248.020302
92,771,3258.906094
173,1122,3273.754226
51,890,3289.812262
258,2315,3314.239114
73,370,3318.723316
84,898,3328.809682
63,475,3332.996079
63,355,3337.196155
123,748,3348.225201
96,524,3355.963502
231,1995,3385.985725
79,801,3394.188192
40,185,3395.845429
29,235,3399.077392
164,1279,3412.691895
41,466,3418.01252
44,203,3420.963531
119,1349,3435.106267
110,801,3456.903279
74,357,3461.221174
49,289,3463.834346
68,451,3468.920356
44,377,3473.301898
158,1359,3487.384845
47,337,3491.463809
23,230,3494.569019
116,813,3502.923433
24,194,3505.64038
73,858,3514.291617
111,1104,3530.866909
70,792,3543.718595
146,1663,3562.266777
88,971,3573.045612
63,447,3578.111427
67,412,3582.806621
24,194,3584.56267
107,1218,3602.99576
131,884,3611.948341
58,538,3617.876222
76,588,3624.214792
68,574,3631.469536
25,200,3633.229551
31,186,3634.882996
89,438,3639.900748
109,900,3652.679923
57,367,3658.709242
25,189,3660.535255
80,614,3667.074071
104,1585,3687.700295
300,3984,3731.69111
24,301,3736.165324
71,362,3740.325479
42,502,3750.899117
135,1788,3771.163405
36,310,3773.898766
54,417,3778.671409
61,442,3783.681877
73,524,3789.376323
170,1532,3806.183282
26,200,3809.057181
275,2543,3847.771661
93,591,3854.097972
100,956,3864.779147
151,1131,3876.958995
69,405,3881.595295
133,1069,3893.118953
58,506,3898.757895
161,1128,3919.649856
93,641,3926.560654
277,1810,3946.839452
55,414,3950.491274
300,2223,3975.504266
69,965,3989.777341
25,261,3992.036698
42,537,3997.892203
77,533,4003.745183
72,526,4011.502099
55,233,4016.024865
80,1343,4031.323063
28,190,4034.114161
57,445,4039.144542
117,1712,4062.405213
72,397,4067.03025
63,282,4069.4883
119,1511,4086.139212
36,206,4089.069472
102,1017,4101.797782
144,2528,4136.467834
84,349,4139.531615
83,1464,4155.79161
