#{"t_start": 1587228635.8370175, "env_id": "DronePathComplex-v0"}
r,l,t
91,620,9.089427
25,856,17.805148
46,1226,36.683846
40,1076,48.464964
24,478,53.829027
102,823,62.274444
42,753,71.102909
31,1124,107.489281
25,393,112.017073
24,406,116.658599
36,686,124.314862
27,602,133.029814
28,851,144.224423
35,948,154.912474
48,2075,192.711379
133,1757,211.48017
60,902,221.582894
204,2078,249.032826
300,3770,302.196542
48,850,313.400195
144,1694,335.058165
300,2605,374.767601
300,2790,405.973933
300,2896,454.245619
300,2163,477.726124
245,2131,501.042778
300,2224,539.576627
300,1839,559.687621
300,2201,582.980428
300,1869,611.926026
300,1737,634.546882
185,1228,648.211021
300,2146,671.075522
300,2329,709.242298
300,2591,736.869618
238,1526,753.632283
220,1269,777.396669
300,1851,796.515823
105,565,803.61295
134,834,812.391253
218,1190,828.943096
166,1090,851.792317
300,2642,880.200618
300,2088,902.756251
300,2131,936.250751
300,2451,962.996604
300,2479,990.251252
132,974,1013.02546
177,2457,1042.819346
121,1188,1056.55039
238,2375,1090.899199
122,1297,1105.600049
300,3427,1147.667302
81,943,1156.988223
199,1393,1178.814221
185,2031,1200.655062
94,1055,1213.422383
144,1712,1235.126188
102,1013,1252.675651
155,1958,1274.216178
77,903,1284.360976
156,1679,1302.406358
190,2213,1341.241045
79,777,1349.103583
300,2702,1377.968491
239,2121,1410.967381
300,2277,1434.952125
82,1110,1450.436416
300,2438,1487.040405
151,1356,1502.36063
249,2394,1527.823869
263,2448,1565.817461
300,1786,1585.733289
74,776,1593.637498
285,2307,1619.460732
84,1105,1641.020402
173,1844,1661.321667
221,2829,1692.318352
142,1911,1719.748471
83,789,1727.655168
141,1540,1748.609136
217,1548,1765.245515
266,3438,1819.543435
91,390,1824.121028
67,896,1833.116405
203,2052,1855.613512
158,1673,1881.333182
120,1564,1902.257273
72,708,1910.091036
147,1034,1921.494068
152,981,1932.402914
78,892,1942.304896
77,821,1950.437294
167,2024,1982.069271
71,819,1991.359563
192,2984,2025.100918
76,815,2045.564667
213,1438,2061.544086
116,941,2071.959141
229,3089,2110.346937
75,1273,2130.931865
45,328,2133.818005
91,782,2142.737094
83,826,2151.020292
125,1518,2167.606003
46,460,2172.782741
88,544,2178.666749
179,1545,2200.198657
46,491,2205.614531
123,1096,2219.556783
73,450,2226.645975
72,963,2237.900754
179,1936,2259.010842
52,816,2270.668346
150,1762,2290.474655
75,820,2299.913584
20,549,2306.668336
63,854,2318.220458
41,1242,2333.382206
25,496,2338.904158
65,682,2350.332989
