#{"t_start": 1587228635.3817298, "env_id": "DronePathComplex-v0"}
r,l,t
35,715,10.388805
29,720,17.89193
27,765,29.885126
32,665,38.576548
26,1185,51.2935
22,400,55.981201
33,497,61.542785
37,1104,73.470601
25,491,103.222394
119,1745,122.95417
33,2090,150.181741
120,3122,199.411006
95,1159,211.781332
78,690,218.887443
57,929,230.889525
85,1495,250.507779
197,2546,290.692526
96,1087,302.473262
219,3040,340.821029
300,2583,380.359174
300,2542,408.288119
300,2273,449.899801
228,1684,468.050141
300,2475,495.444003
203,1255,509.646617
300,2525,550.777045
300,2035,572.494701
300,2141,603.906245
300,2135,632.125276
300,2286,656.026456
300,2308,690.041579
300,2053,717.104513
300,2376,741.991132
300,2216,775.208732
256,1786,794.854176
223,1608,812.432292
300,2941,858.755087
104,706,865.914512
199,1459,881.934083
300,2148,904.98016
94,516,910.531045
230,1682,940.175912
245,1780,958.885375
249,1709,977.12279
127,1334,1003.356777
300,2073,1030.719463
186,2069,1053.187008
300,3433,1100.018528
300,3493,1142.743946
84,875,1151.562113
300,3617,1196.870096
198,1679,1218.725504
84,851,1229.33794
125,1771,1255.730553
142,1602,1273.017488
149,1589,1290.223246
75,821,1299.693152
175,2417,1339.172808
176,2642,1367.709556
250,2468,1403.563541
196,1651,1422.217263
80,970,1431.650926
114,529,1437.314933
300,1826,1462.445808
300,2035,1493.32407
109,645,1500.11407
280,2678,1529.236295
134,1128,1543.037913
142,1748,1572.061713
212,1647,1589.63896
95,496,1595.122397
76,917,1605.38472
200,1244,1619.647329
106,1190,1642.165057
300,3595,1681.696885
203,1604,1698.811129
300,3635,1748.854897
208,1722,1767.019338
194,1391,1782.400333
300,3029,1832.226644
117,1090,1844.073903
103,1448,1860.102257
300,2816,1901.725161
204,1106,1914.432692
47,478,1919.760762
149,1553,1936.772967
178,1343,1950.512963
117,1196,1973.915787
78,829,1982.153838
51,364,1986.40855
173,2335,2012.213496
131,965,2021.745395
282,2016,2057.209549
125,1443,2073.175927
120,1755,2097.431756
145,1007,2108.643971
134,1709,2133.084831
95,1407,2148.530286
72,785,2156.448302
82,437,2161.421914
121,1117,2173.462493
265,1387,2188.832614
73,829,2203.06551
57,669,2210.123918
84,1024,2224.876747
143,1881,2246.835258
135,1194,2259.3143
70,549,2265.122979
108,2100,2291.414711
93,1825,2314.698898
33,403,2319.339849
75,1273,2334.656698
29,382,2339.137474
57,861,2352.159055
21,460,2357.370326
24,472,2362.715011
165,1476,2379.426358
30,378,2385.554747
