#{"t_start": 1587228635.6681569, "env_id": "DronePathComplex-v0"}
r,l,t
31,577,8.854793
29,661,15.866482
35,544,22.978937
28,671,32.480876
65,1129,45.764479
24,662,53.883946
39,509,59.528094
30,782,67.573881
36,552,73.49793
28,1027,109.041839
33,506,114.546651
36,931,125.76627
82,839,138.887411
69,1544,155.858308
58,955,166.331778
107,1299,195.238687
85,939,205.732005
146,1590,223.005107
179,2716,258.176348
300,4497,322.974527
300,3194,370.993903
168,1331,384.979069
300,2077,407.644332
300,2516,451.399397
300,2498,478.992446
300,2749,509.809491
300,2349,549.320333
300,2227,572.7559
148,806,581.923998
300,1966,611.706003
300,2586,643.693492
279,2107,666.226819
300,2015,700.861543
300,2006,723.166321
300,2160,746.355307
300,1500,772.20462
300,2473,798.892065
134,659,805.712581
300,2402,846.610741
300,2275,870.689737
125,708,878.002284
140,1215,891.777646
300,2130,922.72644
300,1776,944.062821
300,3723,985.338106
184,1297,1010.056025
300,2928,1047.089066
81,865,1056.868511
300,2313,1090.653545
163,2257,1117.976699
300,2701,1149.477638
186,992,1166.934236
300,3402,1202.718712
157,1246,1220.095236
77,770,1229.580726
223,2102,1259.965307
161,2112,1282.763459
131,1253,1295.987146
300,2626,1338.450571
265,3060,1371.663667
188,2256,1405.783977
300,2600,1433.650095
76,753,1442.754462
118,517,1450.478907
300,3638,1499.91815
77,816,1509.28579
300,2416,1536.095284
300,3191,1581.563718
300,2660,1610.40422
85,896,1620.551458
69,385,1625.122825
76,847,1643.836601
185,1943,1665.399532
228,2028,1687.247725
120,1338,1702.069098
83,825,1716.86139
300,3422,1758.50779
300,2839,1800.458942
74,943,1814.732834
300,2119,1838.804689
111,894,1848.878854
159,1762,1868.832857
264,2960,1911.335119
81,1162,1925.003768
300,3032,1967.689636
114,1196,1980.143368
273,1880,2000.836076
144,1120,2012.822234
291,2720,2055.520501
134,1217,2068.443664
210,4776,2132.070602
223,2375,2157.076545
86,472,2162.353147
103,1353,2177.524889
72,974,2188.194095
101,1103,2204.870857
55,824,2215.380525
69,813,2226.644709
186,1955,2248.754445
107,1274,2262.963351
54,631,2273.07405
29,465,2278.224313
69,963,2288.860579
59,695,2296.050255
92,1144,2309.890345
63,675,2319.38229
36,592,2327.510814
30,363,2330.704493
20,499,2336.204554
21,515,2341.87117
49,944,2356.751148
102,1495,2373.408418
39,554,2379.917835
25,421,2386.536158
40,399,2393.009171
26,395,2397.920816
95,1007,2407.988347
51,818,2417.353769
28,452,2429.191564
79,820,2438.605469
126,1289,2452.078418
77,933,2462.452595
102,1662,2484.887507
62,781,2493.946515
106,1767,2520.420313
80,690,2527.623105
45,943,2538.210685
162,1899,2560.728003
39,593,2569.449095
69,749,2579.124173
64,803,2594.719732
20,551,2600.682062
45,579,2606.984483
63,1290,2621.597064
79,878,2631.480929
59,797,2639.603587
27,232,2642.844651
25,192,2644.543762
110,747,2652.202049
66,819,2664.75592
75,1147,2681.240868
68,784,2690.544855
30,233,2692.549859
115,1124,2705.707765
85,1139,2717.89538
98,881,2726.721761
151,1177,2746.987921
74,449,2753.978872
47,424,2758.399786
80,982,2769.141387
189,2116,2792.940998
80,404,2796.488555
259,1819,2821.391624
25,235,2823.507073
239,2803,2854.71303
31,204,2856.675441
25,189,2860.712799
81,415,2865.418518
87,432,2872.12916
134,612,2878.545084
81,1386,2903.589704
23,205,2906.582591
119,1134,2918.795387
26,210,2920.609883
26,197,2923.477029
147,780,2931.49994
24,193,2933.214097
174,1853,2958.487258
71,806,2967.79893
80,929,2982.18641
43,518,2987.850797
90,801,2997.207362
89,760,3005.043092
56,344,3009.204882
131,1420,3025.01915
79,809,3034.311252
86,1015,3049.695803
61,543,3056.779593
69,878,3067.718964
135,2050,3092.491902
53,827,3102.104075
116,912,3112.469151
49,491,3117.95769
63,286,3120.504344
61,273,3129.676367
60,414,3134.443479
73,1273,3147.824313
57,527,3155.477023
32,232,3158.222069
69,773,3169.132609
123,1339,3184.195171
76,799,3192.303312
47,436,3197.228748
45,472,3207.969057
62,388,3212.546975
117,1100,3224.541129
191,1761,3243.424114
102,983,3254.794247
96,532,3262.767186
55,600,3271.050552
113,631,3278.783815
66,762,3292.641218
127,1200,3305.196913
108,1167,3318.782622
48,306,3321.460715
300,2898,3357.903473
80,841,3375.36679
23,187,3377.040795
93,845,3386.768842
85,796,3394.956181
111,1010,3406.182661
150,1461,3422.601744
137,983,3433.525913
95,866,3455.900843
79,358,3459.10441
150,1755,3478.978514
94,764,3486.753258
64,352,3490.989332
31,193,3492.684924
94,507,3498.254954
68,795,3507.425411
192,2505,3543.093102
97,658,3550.744463
82,850,3560.467241
166,1418,3576.347854
190,1396,3590.890292
67,858,3605.00896
54,569,3611.190717
77,933,3621.781763
52,465,3626.982179
152,1875,3648.081521
27,169,3651.815095
282,3039,3690.753779
25,194,3692.443919
25,198,3694.18205
107,1290,3708.964097
108,971,3719.794392
63,460,3724.907251
56,414,3729.66981
58,343,3732.564568
73,406,3738.487586
175,1553,3761.046141
28,231,3764.223357
66,614,3770.739149
94,770,3778.633363
157,1471,3794.845763
29,184,3796.477458
59,553,3803.555123
284,2570,3842.671831
105,639,3849.298481
300,1972,3871.175495
31,193,3872.890944
156,789,3881.98106
78,461,3886.014472
30,196,3888.872747
112,765,3896.635576
53,565,3908.427992
28,196,3912.40495
132,985,3925.42041
300,2634,3954.059999
24,246,3956.173597
40,465,3961.342626
30,198,3964.18608
137,1503,3984.328623
192,1960,4005.182347
93,1123,4022.728962
27,185,4024.35685
135,1124,4036.496923
122,1281,4050.964476
25,193,4057.668654
124,1200,4070.465484
21,204,4073.390811
25,181,4074.978907
65,317,4078.895929
239,1383,4093.315098
28,190,4096.139149
104,1123,4112.465935
26,182,4114.573783
171,1619,4136.877917
92,1032,4148.192189
26,211,4150.100686
158,1245,4163.2497
65,342,4167.352157
203,2216,4191.324052
43,476,4196.665157
29,205,4199.637776
62,574,4210.09816
84,403,4216.512751
47,852,4226.986426
227,1840,4247.641692
197,1327,4262.547407
86,400,4266.119686
286,2685,4304.068521
85,890,4312.924307
97,876,4322.898943
94,1099,4334.793643
93,530,4340.561178
127,927,4350.904908
158,1465,4372.04678
215,1064,4383.685475
145,1338,4398.807166
26,187,4400.4604
26,186,4402.106627
64,795,4414.764534
75,1015,4426.859152
186,2193,4455.395264
145,1634,4473.015379
67,884,4483.186639
70,820,4493.63788
54,455,4498.915582
43,532,4508.116029
72,331,4510.97212
119,815,4522.77794
150,1291,4536.207131
56,416,4540.887718
122,885,4550.719486
124,539,4556.519685
47,574,4562.593814
73,716,4569.921024
62,845,4579.6223
42,659,4588.593175
69,519,4594.281286
70,844,4607.360781
62,424,4613.520979
39,235,4615.565886
35,207,4618.506575
73,899,4627.497296
65,573,4634.816266
163,1120,4646.732435
31,218,4648.634562
155,902,4663.311656
34,209,4665.118609
82,882,4675.075307
68,773,4684.495276
144,1397,4703.232197
58,584,4709.469857
198,1691,4728.628464
117,1391,4749.614563
65,400,4754.190705
61,819,4763.477351
108,1234,4776.413664
87,1008,4787.703989
73,458,4794.76773
212,2316,4827.494334
56,696,4834.75852
161,1339,4850.007759
234,2464,4876.352137
300,3367,4922.612013
218,1279,4937.242138
158,2079,4960.049661
50,659,4970.934788
176,923,4981.25491
95,1049,4992.658857
60,323,4995.951427
191,1603,5017.140227
202,2461,5049.818209
56,910,5059.900984
99,500,5065.38129
78,789,5074.446113
43,697,5081.624249
77,874,5091.49644
90,419,5095.153988
181,1441,5115.695775
142,690,5129.071281
130,621,5135.775313
123,957,5146.430353
186,1497,5162.983432
149,1683,5181.23645
91,875,5191.268858
87,879,5211.330629
147,995,5222.316312
212,1515,5238.897602
169,1710,5258.211288
101,597,5264.604812
114,820,5272.81566
