#{"t_start": 1587228635.629786, "env_id": "DronePathComplex-v0"}
r,l,t
26,601,9.122908
25,514,14.82596
30,721,23.657343
21,603,32.355239
44,997,44.505648
40,656,51.43555
26,522,58.324003
26,1369,72.646314
83,416,101.735896
156,1159,114.041338
27,488,119.352671
25,432,124.973813
20,414,131.512825
58,1296,147.109032
85,2097,169.805673
73,1110,198.236764
99,1759,216.977373
115,2330,247.748513
87,1156,259.995332
300,4288,322.978262
300,2869,367.043404
300,2821,397.338348
102,919,407.734678
300,2381,450.306796
300,2568,478.502336
300,1923,499.921356
244,1670,532.812215
300,1743,550.879255
300,2007,572.359588
300,2275,606.008605
104,542,611.781166
300,2319,640.43409
300,2131,663.068527
288,2041,696.721517
300,2327,724.108096
300,2517,751.588406
300,2426,787.495072
300,1935,807.424869
260,1861,832.404806
300,2246,866.325145
300,2394,892.628481
300,1972,922.054721
219,1672,942.6233
163,1291,957.064739
300,2152,980.349397
239,3481,1034.503633
300,3309,1069.89587
300,3245,1115.354161
252,3078,1153.295362
118,800,1167.943951
169,1677,1185.492649
137,1422,1201.087468
159,1638,1222.444748
176,1250,1244.256495
126,1711,1262.521832
290,2536,1290.191581
117,1215,1303.083797
77,930,1326.433393
103,776,1336.358015
262,3370,1372.263984
87,837,1381.634378
81,458,1386.646989
300,2147,1418.747669
282,2459,1448.707434
300,3062,1492.355922
156,1682,1510.473779
300,1119,1522.544895
263,2339,1551.556646
173,1303,1573.215951
221,2668,1603.14222
59,890,1612.024971
109,651,1620.0315
124,1214,1642.967396
205,2528,1670.865973
201,1962,1692.232258
96,806,1700.203088
74,836,1716.185573
300,3432,1757.923381
147,1964,1779.352025
185,1645,1811.980672
300,3992,1857.598022
171,1619,1881.746727
182,2323,1910.952072
109,1038,1922.392138
120,1343,1937.537979
124,1081,1948.983755
203,2665,1987.262797
223,3167,2021.439512
145,1455,2050.835777
155,1534,2067.671051
261,2022,2094.247696
78,833,2103.902868
54,401,2108.567351
141,1410,2129.308285
177,2802,2160.19015
98,643,2166.951333
138,1228,2179.976924
70,619,2187.503406
38,438,2197.230283
113,727,2204.715935
211,1383,2223.46296
77,1419,2239.555205
123,1541,2256.133003
50,1203,2273.374455
61,589,2279.599206
61,637,2286.307242
72,981,2297.089735
40,452,2302.203592
132,547,2309.568337
33,358,2315.463277
25,549,2323.082602
143,1132,2335.176633
54,677,2342.258643
20,578,2352.798734
63,833,2362.480134
42,593,2368.865022
57,634,2376.655568
97,1346,2395.186658
72,703,2403.683349
83,788,2411.764113
61,733,2419.241857
23,220,2429.063966
63,1403,2444.6315
39,429,2448.446428
126,1015,2459.559545
79,414,2464.30098
81,868,2477.449629
70,1210,2491.442244
80,796,2500.570317
62,1219,2521.227443
35,407,2525.913584
41,420,2530.713813
40,464,2535.986557
32,548,2541.967367
162,2130,2568.665504
45,882,2579.714859
47,247,2589.287539
69,710,2597.794315
85,981,2608.739675
90,753,2616.38029
41,1346,2631.491932
100,2017,2653.840119
61,399,2660.383657
48,507,2665.983431
87,932,2680.349639
68,421,2685.614801
105,1617,2702.999373
65,760,2711.955742
71,722,2719.308939
108,1352,2739.127225
190,1552,2760.652785
300,1764,2779.327558
103,438,2784.201819
140,1869,2804.928573
163,1345,2823.467272
181,2107,2846.276764
71,783,2855.442628
188,1773,2878.573155
102,1174,2901.75456
195,2007,2923.940284
30,202,2925.710001
108,1122,2938.180221
122,1167,2954.831506
136,1524,2976.63942
49,430,2981.614571
73,840,2991.291135
71,850,3001.020993
74,779,3009.051708
68,795,3018.247594
64,805,3026.439369
127,940,3036.896724
61,589,3043.159133
88,825,3058.099001
25,262,3060.488502
65,1062,3076.25849
49,839,3085.920514
37,410,3090.675658
63,444,3095.744906
76,431,3100.714619
63,534,3106.598448
73,336,3109.581606
77,992,3120.656587
136,1255,3140.742666
32,195,3142.431885
35,244,3145.649406
75,589,3153.348738
110,1195,3169.144357
66,461,3174.263789
81,584,3180.539733
71,858,3190.262071
111,574,3196.375717
91,941,3212.411011
33,235,3214.562421
137,1450,3230.705168
25,238,3232.798214
90,865,3242.649622
100,899,3252.801108
81,920,3267.134318
90,954,3278.241648
100,509,3289.914751
102,1338,3303.664232
31,206,3306.549009
51,354,3309.579657
73,831,3319.229528
251,2395,3347.857267
40,248,3350.657806
49,523,3358.01227
119,569,3371.898338
126,1612,3389.573655
120,935,3400.164795
122,594,3406.56843
151,1142,3420.174187
120,1301,3433.89446
154,730,3453.971435
81,726,3462.700316
87,481,3468.047022
300,1985,3489.862147
107,958,3500.512746
89,1028,3511.681211
129,1077,3527.78295
78,806,3538.258039
238,2100,3563.394869
93,1305,3578.241365
36,520,3583.89818
188,1526,3605.091774
67,810,3614.546997
42,412,3618.216192
202,1627,3635.932303
28,201,3638.845031
47,407,3643.7338
42,414,3648.520437
173,2309,3680.871175
44,212,3682.718638
25,195,3685.627874
134,1121,3697.76182
53,388,3702.283712
300,2813,3732.533348
25,200,3736.04293
54,541,3744.188137
61,479,3753.351658
57,343,3756.37254
184,1117,3768.4938
45,526,3774.280977
159,1518,3790.935497
300,2328,3819.575528
144,812,3837.1853
33,252,3839.407567
58,551,3845.370303
83,606,3851.759468
45,522,3857.482298
279,2105,3880.436908
74,1220,3894.39995
71,346,3898.611233
300,1974,3928.261796
300,2103,3952.253174
175,879,3961.006075
300,1966,3986.268756
26,176,3987.850423
54,415,3992.55272
267,2404,4023.946593
22,184,4025.553765
83,777,4034.676972
265,2270,4063.954962
123,1382,4079.481927
69,735,4087.028569
179,1578,4107.017055
36,207,4111.200947
59,845,4120.54264
41,557,4127.668314
70,585,4137.552898
73,740,4145.154459
87,1001,4156.230708
83,1408,4171.949443
52,897,4182.053208
51,664,4188.99507
167,1646,4211.574793
101,935,4225.317487
102,1247,4238.548352
38,175,4241.234196
87,892,4250.120494
73,763,4258.980476
28,188,4260.650349
66,311,4264.490788
126,735,4272.321021
31,192,4275.181499
129,1135,4294.356449
67,392,4299.451294
175,987,4310.202351
255,1887,4330.126596
167,1754,4349.993656
94,587,4361.069445
72,1168,4373.665237
28,181,4376.387111
73,939,4385.776747
98,550,4391.71331
130,1069,4405.538616
84,1022,4420.150085
65,1016,4431.285539
244,1263,4449.442706
71,791,4458.574503
80,1229,4471.548825
89,927,4482.042314
152,1147,4495.893174
100,854,4508.728665
144,650,4517.998142
62,982,4528.690964
101,1605,4545.882813
117,1664,4563.680499
90,933,4574.025094
54,672,4581.061828
77,487,4588.517059
70,807,4599.045381
32,210,4601.468764
167,2280,4630.04593
215,2309,4654.473066
94,1481,4675.497929
175,1318,4693.152978
274,1349,4709.11353
155,1353,4724.212659
88,505,4729.739072
90,912,4746.576754
40,258,4748.793144
51,554,4754.735375
100,876,4764.469854
89,971,4775.109102
189,2649,4808.366951
107,699,4821.214701
56,571,4827.403215
32,225,4829.414904
103,885,4839.470651
86,486,4844.883169
276,2266,4869.50029
101,857,4879.27757
118,413,4884.067227
78,463,4895.594325
250,2193,4921.847402
109,636,4928.555487
84,348,4932.764041
76,1177,4945.360375
38,246,4948.595352
23,209,4950.442934
296,2495,4981.996444
292,2840,5016.692164
96,943,5027.215466
63,885,5037.358518
69,968,5053.38561
300,3048,5086.506254
155,1877,5110.054629
124,1351,5131.202541
148,1409,5147.04742
168,2105,5170.123245
67,599,5176.554074
228,2273,5213.463457
94,973,5223.123996
82,988,5234.032074
131,1384,5249.42577
253,2141,5272.499092
