#{"t_start": 1587228635.4652283, "env_id": "DronePathComplex-v0"}
r,l,t
20,466,6.732116
30,601,14.56829
36,922,25.599241
25,597,36.034007
82,1251,49.349429
22,1020,60.664539
64,1248,73.855289
66,921,108.463703
25,418,113.211279
51,1609,133.519584
109,2345,161.181837
42,1199,189.15023
32,503,194.68027
43,1319,209.626984
96,1723,229.232325
90,1042,244.176808
189,1965,278.159873
286,4060,327.669595
300,2968,371.677608
300,2468,397.741025
300,2333,425.352151
172,1616,457.54291
300,1953,479.212225
300,2244,503.532763
300,1997,540.044794
300,2036,561.82247
300,2244,586.661138
300,1928,614.968039
300,2476,645.95059
300,2559,682.713948
300,2088,709.539525
221,1359,724.397041
300,2068,746.81487
300,2049,778.486745
300,1790,797.084255
300,3102,836.129251
136,957,855.633968
300,3207,891.081327
222,1853,910.52792
300,2770,951.761499
152,1706,969.903852
300,2039,1003.450514
300,3641,1047.788417
300,1672,1065.623734
283,2339,1100.778617
300,2680,1134.25284
91,982,1144.985541
131,1161,1157.345318
116,747,1172.625605
229,2231,1196.017075
289,2661,1229.624301
113,1096,1249.003071
150,861,1257.647744
173,1205,1271.471565
85,1092,1283.18195
84,866,1291.859893
133,1161,1305.498751
93,841,1326.982469
124,861,1337.55717
300,2695,1366.559219
300,2114,1389.05442
300,2807,1429.098469
218,1886,1454.684205
288,2842,1493.685057
109,1186,1506.3131
188,1756,1526.237326
143,2093,1551.997936
226,2616,1588.26959
86,454,1593.387814
300,1891,1614.431857
232,2936,1656.323845
258,2783,1686.804781
202,2343,1717.991425
300,3131,1755.985264
108,907,1766.019099
246,1845,1786.457398
254,1687,1821.16463
196,1896,1842.339845
257,2374,1867.606643
121,1401,1890.440255
82,951,1904.728983
218,2087,1927.743351
254,2379,1963.638603
119,1294,1976.959165
152,1804,1996.944994
218,1683,2014.953722
175,1147,2029.087021
112,1122,2053.622931
86,1299,2067.289109
134,1371,2084.686974
99,1293,2100.681425
167,1929,2128.300514
75,893,2138.225814
112,1199,2150.805502
71,660,2157.650829
62,821,2167.044139
107,1696,2185.214103
75,483,2195.293423
122,978,2206.104242
159,1704,2230.230883
192,1668,2248.075786
62,573,2254.102222
24,248,2256.187007
96,917,2266.305206
75,1124,2281.864936
50,794,2291.008652
56,758,2298.781029
64,1019,2311.887996
35,378,2318.003644
82,1036,2330.401769
22,519,2336.08215
33,382,2340.61133
64,935,2355.377392
29,443,2360.459986
55,783,2368.547766
31,450,2373.635556
134,1412,2393.686587
74,997,2404.926172
30,530,2410.728835
167,2530,2445.13585
41,417,2449.970174
75,854,2458.547602
65,423,2463.334346
116,2257,2492.080399
29,211,2495.037761
116,1410,2518.370719
106,721,2525.843117
27,492,2531.28831
69,766,2539.255142
87,1318,2554.151334
27,202,2555.946468
67,811,2568.853103
106,1194,2590.034453
99,1241,2604.315033
26,202,2606.13493
96,1131,2618.263274
49,1464,2634.466212
129,1365,2649.827317
152,2376,2683.805036
78,1103,2695.666724
52,884,2704.461672
104,608,2712.082507
68,800,2720.137306
67,863,2730.047589
64,728,2742.642266
125,1245,2760.884995
71,825,2769.17028
55,562,2775.149822
45,499,2780.627011
75,340,2784.635712
74,781,2793.556468
82,887,2802.488376
79,777,2815.987284
85,1174,2828.527159
86,850,2838.147935
65,818,2846.403707
83,521,2852.162114
175,1161,2869.413553
148,1463,2886.207971
51,357,2898.661363
