#{"t_start": 1587228635.5915313, "env_id": "DronePathComplex-v0"}
r,l,t
61,754,10.535393
29,534,16.388037
36,1181,32.763388
23,471,39.03738
53,1298,53.897065
39,1256,67.292811
22,653,75.223943
23,559,105.549528
31,614,112.008081
27,546,117.842191
34,593,124.793004
26,397,131.129041
61,774,141.03974
28,2057,163.528762
161,1939,200.314461
152,2095,223.124378
111,1858,248.618946
75,742,256.159474
300,3462,306.739472
300,3793,363.992064
300,2462,391.239953
300,2260,416.81868
300,2151,456.139123
300,2326,481.072808
300,2232,506.606288
195,1279,534.572433
300,2016,556.10344
299,2035,577.892524
300,1951,607.655674
300,2291,636.119484
300,1829,656.076187
300,2464,693.687762
140,972,707.056924
276,1700,724.841697
300,1529,741.395242
203,1488,767.144204
300,2362,792.995147
300,2122,817.679133
300,2440,855.866317
300,1553,873.732379
198,1698,891.72995
300,2523,928.839434
300,2944,961.906883
300,3014,1005.07245
81,748,1015.078926
231,2434,1045.366628
200,1796,1064.309476
300,3671,1114.222943
270,2438,1144.598227
300,2793,1181.916015
79,782,1189.679237
64,378,1194.030584
300,2014,1218.902887
80,956,1231.415539
85,758,1245.622643
119,1711,1263.887772
300,3279,1300.382087
79,752,1308.128948
204,1286,1336.543406
152,1409,1352.145196
207,1848,1371.467869
228,2205,1403.994254
300,2587,1432.872666
150,1121,1447.755377
300,3356,1494.273778
207,2111,1517.190642
91,1084,1529.009473
61,320,1532.920753
81,467,1538.101985
300,2517,1576.618294
300,2315,1601.224293
140,1197,1615.121428
300,2492,1653.20759
192,1581,1670.001578
93,714,1677.258176
74,830,1686.601071
96,945,1696.98827
74,668,1703.82278
75,1189,1722.918742
122,1429,1741.360067
238,2905,1774.609487
78,833,1782.91209
190,1711,1818.909363
257,2694,1848.188439
87,479,1853.542484
288,2064,1882.710341
190,1970,1908.766413
116,632,1915.510982
129,1175,1928.193097
85,1028,1939.349745
288,3253,1984.786753
153,1308,1998.334542
96,724,2006.854565
105,1124,2018.865711
110,1506,2048.698282
282,2747,2078.828361
102,1298,2097.507881
50,362,2100.761012
99,1165,2114.318568
33,428,2124.355467
107,1688,2143.361555
92,1010,2154.283084
155,745,2161.960062
108,918,2172.208505
146,1555,2189.093888
102,851,2203.535788
119,975,2215.355656
175,761,2226.007706
107,1110,2238.773253
76,680,2246.865327
80,511,2252.374728
23,491,2257.638345
29,216,2259.564839
57,828,2272.402286
67,870,2281.119534
40,437,2286.047073
106,1841,2307.697884
41,913,2321.647072
33,382,2324.989716
81,1152,2338.39706
74,619,2349.321399
25,442,2354.352427
57,878,2363.296131
65,745,2372.112751
29,1320,2388.849778
90,1308,2405.366508
194,1157,2417.757632
40,490,2429.914685
86,1297,2444.533155
150,1775,2463.452498
55,925,2476.997594
176,1826,2497.579127
77,911,2515.470308
68,739,2524.220456
105,1266,2537.628568
87,440,2542.684273
65,819,2552.024617
37,932,2563.400958
105,1688,2592.733523
80,1737,2611.391197
80,745,2620.124878
93,1133,2632.264939
62,708,2639.584617
60,769,2648.659743
37,293,2651.225085
37,470,2656.545106
