#{"t_start": 1587228635.917739, "env_id": "DronePathComplex-v0"}
r,l,t
33,918,11.689337
21,621,19.913351
19,1365,38.392034
47,603,44.849376
36,554,50.863966
26,428,55.797178
23,401,60.512587
21,649,67.371395
24,1545,108.519202
24,870,118.278648
41,619,125.781228
62,1373,144.615529
62,1075,156.35155
73,1100,168.085768
55,833,192.963463
46,1304,206.626592
300,5316,282.558978
300,3591,326.835147
300,3033,371.42461
116,1366,385.681856
300,2398,412.361984
299,2491,455.860654
300,2495,483.422574
300,2426,510.476968
300,1952,545.267571
300,2411,571.277514
300,1809,591.480799
300,1915,620.907593
300,1639,641.278715
300,2250,666.110587
300,2455,706.39799
300,2199,729.546786
169,1299,744.247105
89,396,747.709637
300,2113,779.971859
66,558,786.886496
300,2047,808.924095
294,2108,846.122489
300,2643,874.576814
300,2319,899.092862
134,1031,910.207609
249,2424,947.401849
300,2571,975.228672
90,491,980.750932
300,2215,1017.765867
122,718,1028.982939
300,1990,1050.7817
159,1001,1061.663754
292,3431,1107.591156
300,2700,1142.115806
90,872,1150.907778
159,1472,1173.576383
148,1393,1188.641874
161,1322,1202.333867
81,798,1212.63589
221,1911,1243.936102
255,1892,1263.778105
98,1311,1278.46605
139,1190,1291.126757
248,2055,1326.776401
109,731,1336.15312
166,719,1343.530608
153,1896,1364.443347
300,2504,1391.434958
108,608,1407.049632
300,2346,1432.705876
73,909,1443.375858
181,1180,1460.103148
105,996,1470.912343
159,1612,1497.131298
223,2258,1521.377536
95,463,1526.617338
81,869,1536.439709
150,1774,1566.325816
300,2889,1598.120541
176,1938,1619.598625
186,1355,1644.098774
118,1084,1656.003059
129,2055,1678.024147
157,1046,1689.263788
284,3376,1733.480463
166,1561,1753.781157
92,810,1762.990833
293,1998,1784.726141
111,1005,1810.392997
226,2549,1840.314273
134,1479,1855.543025
159,1791,1882.31053
209,1782,1905.588263
147,1372,1921.096212
300,2534,1948.66981
300,3379,1995.344614
93,426,1999.053168
118,1667,2018.005282
87,804,2027.857508
139,1532,2056.254082
116,1824,2076.679024
73,1086,2092.661075
99,577,2099.068712
133,1409,2114.806281
300,2989,2153.565964
300,3582,2197.454877
69,882,2206.309157
106,1201,2223.547276
63,1115,2236.88884
119,934,2247.186404
35,377,2250.468238
23,575,2257.531083
28,571,2263.553984
66,792,2275.116843
76,431,2279.946754
47,424,2284.77862
73,798,2292.852971
99,1111,2306.883687
33,365,2311.016408
39,400,2317.371103
26,439,2323.530344
37,685,2330.593528
46,332,2334.62875
36,455,2339.794396
58,721,2351.532766
49,904,2361.841788
44,1172,2374.437514
86,730,2385.150166
39,442,2392.096076
85,1244,2405.848355
38,593,2412.175151
31,432,2417.036435
77,1004,2434.785564
42,428,2439.694675
75,574,2445.768333
62,798,2454.972201
73,990,2464.79618
98,713,2476.376979
65,854,2487.501644
64,771,2495.33373
181,1575,2520.126015
76,513,2525.78469
240,2515,2553.527966
97,856,2566.359051
63,747,2575.540648
38,722,2591.618091
50,859,2600.256496
24,573,2606.502504
34,492,2611.893842
60,779,2620.956682
76,1283,2634.438305
102,1539,2651.346291
83,924,2664.84199
73,1172,2681.67729
94,1118,2694.82201
186,1470,2711.058721
70,826,2719.342514
27,203,2722.254673
40,547,2728.214123
123,827,2741.577982
50,294,2746.849303
30,205,2749.264909
49,393,2755.642769
111,1093,2767.513995
42,534,2773.246939
113,1212,2785.939447
71,1375,2801.285635
71,801,2810.546717
107,1009,2826.117297
90,507,2831.620246
102,1098,2843.426705
109,640,2850.20217
36,442,2855.217187
75,554,2863.259915
126,1461,2881.622524
262,1888,2912.249844
84,804,2920.415159
48,561,2926.438489
35,294,2930.203705
91,1315,2946.693068
94,829,2958.061203
30,215,2959.990413
74,1314,2979.894839
82,812,2989.326229
38,271,2991.801211
75,913,3002.056621
39,877,3012.070563
101,459,3016.013365
75,1174,3029.789406
87,1210,3042.522032
68,364,3052.320502
72,405,3056.985614
84,374,3060.391195
116,995,3075.488987
43,498,3081.034526
41,508,3086.659691
52,491,3092.129031
179,1090,3104.073164
87,724,3112.802291
25,231,3114.854052
149,1476,3136.89948
79,875,3146.78399
64,772,3157.088213
59,543,3165.068035
100,1136,3178.362535
300,2754,3213.625667
113,910,3223.890919
125,596,3230.29067
107,1388,3245.869553
38,329,3248.754126
172,1829,3273.929786
112,1120,3291.963264
88,817,3301.170366
84,1037,3312.349539
111,457,3317.555106
87,649,3324.384254
135,1380,3339.885457
43,517,3347.581762
100,997,3367.433948
140,1057,3380.185854
196,2046,3402.885285
85,540,3408.80521
118,1082,3420.758514
127,1066,3432.395306
190,1421,3460.838502
165,1335,3474.827407
72,497,3480.222332
137,750,3489.074009
213,2037,3511.349626
146,1832,3537.344591
84,1000,3550.688439
76,747,3559.490591
113,1207,3572.37178
104,897,3582.464658
27,178,3584.071542
48,431,3588.998967
161,1527,3610.195037
57,323,3614.202594
209,1068,3625.953952
61,319,3628.680497
59,577,3634.922484
42,254,3638.309644
113,1688,3660.985477
31,284,3664.653272
150,1405,3682.501288
62,458,3687.703533
198,1337,3702.863978
135,1368,3718.349435
132,1367,3732.433604
78,571,3740.293308
141,791,3754.477139
125,967,3765.307961
270,2583,3793.560747
300,2084,3818.850827
120,684,3834.342859
65,605,3840.790775
93,510,3846.337835
56,267,3849.801792
54,368,3854.151211
29,192,3855.842602
75,1028,3867.207092
75,577,3873.391414
88,755,3882.174541
25,183,3883.770856
51,349,3887.971892
99,679,3894.91155
95,1441,3919.846051
124,1275,3933.353589
207,1495,3949.747245
98,710,3958.240172
24,213,3960.063465
109,486,3965.466479
245,1794,3989.198785
49,485,3993.425387
