#{"t_start": 1587228635.1562912, "env_id": "DronePathComplex-v0"}
r,l,t
25,578,9.382537
22,530,15.230912
58,818,25.186441
29,592,33.765725
20,689,43.000255
24,403,47.656917
25,420,51.331059
29,473,56.680575
41,694,65.146377
46,663,72.039484
29,529,102.113907
19,495,107.526726
25,470,112.743499
80,970,123.613711
32,429,130.39397
44,1728,151.328418
63,808,160.561856
89,1510,191.233812
59,689,199.52923
66,1384,215.021189
108,1328,230.212819
107,1162,246.061884
120,1473,274.57857
83,2015,296.681065
282,3617,341.246276
300,2879,384.536912
300,2380,411.052336
300,2416,452.722995
300,2327,478.817477
300,2048,501.376427
300,1962,537.767936
300,2140,560.396615
300,1971,581.652527
300,1927,610.081248
300,2592,643.209475
261,2064,665.328139
300,1891,696.296539
300,2227,723.12411
138,1183,735.432375
300,2529,772.584234
300,2317,796.812283
300,2060,821.865388
300,2204,858.277034
272,1424,872.7907
300,2852,904.183506
300,2714,943.854885
300,2641,972.253711
185,2041,1005.85099
113,1149,1022.48592
300,2956,1056.413006
220,1623,1073.727377
300,1557,1099.932703
161,1351,1114.967328
263,2520,1145.986391
236,2239,1177.552759
84,448,1182.375823
96,788,1190.190744
79,839,1199.626793
214,2938,1235.60054
71,801,1251.364314
118,1232,1264.337158
126,1701,1283.594506
141,1299,1297.21541
88,992,1308.222652
174,2201,1346.830069
279,2726,1375.9402
74,932,1386.135209
174,1417,1409.782286
87,698,1417.920675
179,2391,1444.897298
97,477,1452.197914
288,3007,1494.686746
300,1959,1516.281516
89,874,1526.26661
248,2575,1565.378245
102,1046,1576.647417
84,427,1581.467322
84,1098,1593.265176
182,2079,1615.962815
260,1801,1645.694498
217,2692,1675.545757
300,3116,1709.059263
154,1530,1732.62087
300,3772,1776.822061
174,2597,1821.623345
183,2777,1852.754826
117,1624,1870.359137
92,797,1885.05138
76,390,1889.996871
154,1524,1910.633187
146,1308,1925.625238
270,2807,1965.28089
268,3613,2004.172157
64,737,2012.809016
211,2187,2049.698538
