#{"t_start": 1587228635.7085512, "env_id": "DronePathComplex-v0"}
r,l,t
33,423,6.086631
23,437,11.385351
34,869,22.287965
26,1213,38.949898
54,635,45.673018
23,1069,58.536219
49,775,66.544687
25,925,101.179931
31,938,111.576004
67,1146,124.300328
30,1985,150.195183
71,765,157.915411
108,645,165.732195
69,887,189.920466
76,1167,203.542597
46,700,210.756651
61,2271,239.012127
101,922,250.194649
116,1704,281.915629
300,3921,329.056336
300,3549,379.310894
300,2552,407.286634
300,2207,447.231402
300,2498,474.777741
300,2096,497.721928
300,2245,537.771849
300,2248,561.304964
229,1558,577.898585
300,1816,606.474247
300,2082,633.194157
300,2267,656.882205
300,2361,693.627378
300,1782,714.920862
300,1575,731.686221
300,1778,751.773634
107,494,766.540031
179,1219,779.38693
300,2995,812.023026
300,3032,859.139434
300,2178,882.451118
300,2134,905.374474
168,1795,935.982492
300,3041,968.951119
87,777,976.889056
300,2361,1015.828678
300,3107,1052.882741
300,3520,1100.46357
253,2343,1130.949475
300,3351,1173.399101
300,2481,1200.088969
185,1084,1212.942856
90,1052,1228.001194
100,461,1233.094621
140,1357,1254.79621
176,1391,1269.17409
213,2592,1297.362527
103,838,1307.014566
300,2181,1344.355016
132,1549,1361.126024
101,593,1368.505666
151,1217,1381.114674
300,2176,1413.408794
300,2429,1440.945107
300,2422,1471.276437
142,852,1488.570489
300,2821,1519.995016
137,1373,1534.312533
300,2304,1571.05129
115,1213,1583.709146
122,777,1592.760111
87,978,1603.562492
78,392,1608.140436
237,1528,1624.957082
250,2419,1660.985559
103,988,1671.65433
300,2866,1702.941203
107,918,1719.678175
168,1606,1739.252439
147,1092,1752.829309
87,390,1757.305548
170,1711,1775.42891
81,508,1780.927357
265,3437,1835.425446
176,1509,1852.041966
237,1413,1866.630784
155,1303,1888.18145
270,3194,1927.282298
215,3404,1974.188729
164,1346,1987.984504
97,969,1998.58671
79,838,2008.108896
72,896,2018.117635
122,1276,2044.836341
84,754,2053.667009
105,1377,2068.007162
231,2420,2099.214192
202,2512,2133.038928
139,1414,2148.545943
121,1889,2168.373282
71,777,2177.40694
77,753,2185.078697
80,1251,2204.10266
104,1274,2219.580349
213,2307,2247.930394
131,797,2255.822042
58,809,2265.007669
60,823,2277.887855
22,521,2283.58108
89,1756,2302.318454
63,711,2311.572094
22,413,2318.107884
56,768,2328.060731
41,462,2333.204738
23,499,2338.739713
139,1322,2356.983578
67,887,2367.148002
27,400,2371.774167
29,421,2376.615375
22,436,2381.308334
28,426,2387.998882
102,1099,2401.725482
41,412,2406.54825
56,831,2416.011217
37,859,2431.371831
72,313,2435.242447
59,1307,2450.049031
33,478,2455.299083
112,1066,2467.680828
223,2441,2497.176873
33,503,2510.333366
136,1700,2529.785814
32,509,2535.434075
198,1841,2554.995171
157,2012,2589.147528
79,937,2599.640569
24,220,2601.58564
59,423,2606.492234
72,1238,2620.659138
60,783,2628.57969
90,1053,2640.099222
37,382,2644.658465
33,634,2651.311186
98,1421,2672.01904
126,1233,2687.732644
63,670,2695.776435
29,399,2700.389787
67,657,2707.231129
77,832,2715.616975
109,1109,2728.737638
158,853,2742.489638
61,426,2749.314552
136,1366,2766.584195
47,262,2768.841322
81,757,2777.64473
132,1508,2793.966233
114,1320,2807.824977
137,917,2822.567757
123,1015,2833.593128
100,550,2839.531155
132,1541,2856.645657
77,822,2869.753202
73,1152,2882.531141
58,365,2886.892331
300,2913,2927.545208
30,213,2930.610608
69,1497,2951.056532
78,688,2958.839861
174,1548,2980.85403
70,878,2990.866235
50,424,2995.762275
117,845,3004.334112
67,862,3014.15898
182,1973,3035.918487
85,785,3049.276027
74,792,3058.553981
24,486,3065.550925
179,2274,3092.789593
80,1163,3106.539798
97,768,3114.498571
134,945,3130.738387
164,1988,3154.304075
73,839,3165.649836
150,1177,3179.310324
100,1009,3190.349195
106,993,3201.286887
166,1323,3220.734632
151,1468,3237.021968
30,243,3240.322933
64,842,3248.811974
23,201,3251.694776
58,505,3259.139343
285,2541,3295.704322
125,924,3304.758999
103,1006,3315.734028
106,1053,3327.281739
167,1747,3349.549886
108,575,3357.561702
56,541,3371.220132
26,242,3373.389342
224,1604,3392.069809
122,647,3398.982685
24,247,3401.181756
81,635,3409.074277
82,782,3417.201126
24,255,3420.622677
101,1126,3432.7927
82,414,3449.152349
62,363,3453.291945
59,567,3459.45122
133,1126,3472.712702
159,1248,3485.812329
89,1227,3499.958762
158,1101,3511.823281
206,2371,3545.915407
174,1230,3560.125235
79,426,3564.990782
22,208,3566.88669
58,744,3574.534914
131,1019,3585.734943
72,325,3589.735986
120,1391,3609.719276
63,620,3616.349015
86,596,3622.789835
25,175,3624.318563
135,867,3634.161101
60,500,3639.740377
81,735,3650.520576
29,187,3652.665153
56,448,3659.601775
25,204,3661.4235
155,1136,3676.900247
28,183,3679.665258
122,1271,3693.137991
40,460,3698.364174
24,204,3701.272096
50,229,3703.284695
61,565,3709.411018
25,183,3711.016178
79,587,3718.466357
25,183,3720.08929
300,2770,3756.608748
47,444,3761.662495
84,747,3770.481173
56,503,3776.073542
103,516,3781.705052
24,212,3783.572349
143,824,3792.989729
69,610,3799.452718
100,491,3804.921001
102,805,3814.151403
122,871,3833.844664
76,380,3838.305262
57,492,3843.790507
271,2321,3868.661325
28,170,3871.259699
170,1526,3887.955904
128,965,3898.615312
156,1854,3927.188944
175,1748,3946.909089
63,407,3950.493828
249,2273,3975.966434
151,1614,3997.022451
141,931,4008.884905
77,988,4023.048038
98,641,4029.796279
160,1025,4041.043957
199,1077,4057.638486
89,1008,4068.714573
74,963,4079.475442
61,365,4083.771657
76,760,4091.530139
27,181,4093.195472
239,1837,4118.586958
31,180,4120.153727
157,2063,4146.365225
50,908,4156.627708
80,814,4166.014434
42,214,4167.887695
62,379,4172.330394
58,780,4180.272062
81,1464,4196.571202
140,1068,4213.25986
49,440,4220.193164
118,952,4231.782854
73,350,4235.97892
74,744,4243.644881
116,1865,4264.378438
26,181,4266.015188
43,229,4269.22102
44,238,4271.397163
29,211,4274.438412
81,516,4280.353143
125,771,4295.211874
26,204,4298.419148
76,896,4307.335442
125,1273,4321.803326
82,766,4329.639978
90,622,4336.27594
29,187,4339.011879
75,784,4346.984093
60,377,4351.396091
80,810,4365.654233
146,1442,4381.75658
57,432,4385.509388
46,746,4394.346323
27,214,4396.240419
72,501,4401.765606
88,1051,4417.232967
64,981,4428.465566
83,458,4433.656115
65,453,4443.528386
94,399,4448.119387
92,1343,4462.065748
121,1308,4476.946566
70,324,4480.955252
75,487,4485.393779
232,1975,4514.184436
295,3295,4550.450593
125,862,4559.072101
158,1326,4573.957113
35,212,4575.823629
81,549,4584.945185
93,816,4593.242193
71,374,4598.781584
165,1457,4618.542453
53,357,4621.629885
64,627,4629.39815
28,217,4631.296213
37,219,4633.28282
72,828,4642.664038
216,1351,4662.364182
61,373,4665.591123
34,204,4668.532154
300,2757,4702.909845
72,807,4712.201261
94,1152,4724.453494
98,990,4741.910388
93,984,4752.729543
43,245,4754.871096
225,2743,4785.300955
108,1067,4800.792415
119,1440,4821.833717
199,2275,4846.472189
60,388,4851.061601
232,1401,4866.827706
103,1039,4878.258373
211,1255,4898.612124
266,2017,4922.616673
206,1834,4943.224248
145,1406,4957.87678
261,3028,4995.44194
285,2561,5027.412544
199,1172,5041.146302
244,2025,5068.578629
76,439,5072.385952
74,307,5076.167135
88,984,5086.945567
64,494,5092.408478
127,765,5101.714025
202,2122,5133.003474
70,453,5138.1628
84,891,5148.254557
157,1358,5163.576946
61,806,5171.852317
300,3019,5216.438994
151,1290,5231.163124
125,1133,5243.199813
300,2704,5272.326301
